TemplateType=Offer	Version=2014.0703																																																																																																																																																																																																																																																														
sku	price	quantity	product-id	product-id-type	condition-type	condition-note	ASIN-hint	title	product-tax-code	operation-type	sale-price	sale-start-date	sale-end-date	leadtime-to-ship	launch-date	is-giftwrap-available	is-gift-message-available	fulfillment-center-id																																																																																																																																																																																																																																													
sku	price	quantity	product-id	product-id-type	condition-type	condition-note	ASIN-hint	title	product-tax-code	operation-type	sale-price	sale-start-date	sale-end-date	leadtime-to-ship	launch-date	is-giftwrap-available	is-gift-message-available	fulfillment-center-id																																																																																																																																																																																																																																													
FARO-01000               	115.44	30	8421776116405	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-01001               	115.44	30	8421776116412	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-01005               	55.9	30	8421776116429	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-01006               	55.9	30	8421776116436	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-01007               	125.93	30	8421776146389	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-01009               	157.41	30	8421776146402	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-01010103            	72.78	30	8421776101210	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-01010202            	62.44	0	8421776081352	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-01010203            	62.44	30	8421776081383	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-01014               	157.41	30	8421776142053	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-01015               	90.95	30	8421776146495	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-01016               	90.95	30	8421776146501	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-01017               	10.49	30	8421776146518	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-01025               	125.93	30	8421776168008	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-01026               	157.41	30	8421776168015	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-01027               	157.41	30	8421776168022	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-01040               	83.26	30	8421776169296	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-01040101            	154.38	30	8421776026230	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-01040102            	154.38	30	8421776026247	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-01040103            	154.38	0	8421776026254	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-01040201            	123.15	30	8421776025820	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-01040202            	123.15	0	8421776025837	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-01040202G           	123.15	0	8421776139145	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-01040301            	196.32	0	8421776026322	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404101           	178.26	0	8421776122130	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404101D          	229.47	0	8421776158351	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404102           	178.26	0	8421776122147	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404102D          	229.47	0	8421776157019	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404103           	178.26	0	8421776122154	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404103D          	229.47	0	8421776157026	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404201           	178.26	0	8421776122161	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404201D          	229.47	0	8421776157033	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404202           	178.26	0	8421776122178	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404203           	178.26	0	8421776122185	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404203D          	229.47	0	8421776157057	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404301           	178.26	0	8421776122192	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404301D          	229.47	0	8421776157064	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404302           	178.26	0	8421776122208	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404302D          	229.47	0	8421776157071	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404303           	178.26	0	8421776122215	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404303D          	229.47	0	8421776157088	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404401           	178.26	0	8421776122222	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404401D          	229.47	0	8421776157095	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404402           	178.26	0	8421776122239	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404402D          	229.47	0	8421776157101	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404403           	178.26	0	8421776122246	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404403D          	229.47	0	8421776157118	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404501           	178.26	0	8421776122253	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404501D          	229.47	0	8421776157125	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404502           	178.26	0	8421776122260	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404502D          	229.47	0	8421776157132	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404503           	178.26	0	8421776122277	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404503D          	229.47	0	8421776157149	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404601           	178.26	0	8421776122284	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404601D          	229.47	0	8421776157156	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404602           	178.26	0	8421776122291	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404602D          	229.47	0	8421776157163	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404603           	178.26	0	8421776122307	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404603D          	229.47	0	8421776157170	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404701           	187.67	0	8421776122314	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404701D          	239.47	0	8421776157187	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404702           	187.67	0	8421776122321	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404702D          	239.47	0	8421776157194	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404703           	187.67	0	8421776122338	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404703D          	239.47	0	8421776157200	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404801           	187.67	0	8421776122345	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404801D          	239.47	0	8421776157217	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404802           	187.67	0	8421776122352	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404802D          	239.47	0	8421776157224	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404803           	187.67	0	8421776122369	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404803D          	239.47	0	8421776157231	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404901           	187.67	0	8421776122376	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404901D          	239.47	0	8421776157248	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404902           	187.67	0	8421776122383	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404902D          	239.47	0	8421776157255	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404903           	187.67	0	8421776122390	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010404903D          	239.47	0	8421776157262	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010405001           	187.67	0	8421776122406	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010405001D          	239.47	0	8421776157279	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010405002           	187.67	0	8421776122413	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010405002D          	239.47	0	8421776157286	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010405003           	187.67	0	8421776122420	EAN	NEW									3																																																																																																																																																																																																																																																		
FARO-010405003D          	239.47	0	8421776157293	EAN	NEW									3																																																																																																																																																																																																																																																		
