Family;Reference;Descripition;UnitWeight; UnitLength;UnitHigh;UnitWidth;Dimiter; ExportHigh;ExportWidth;ExportLenght;ExportWeight;ExportVolume;IndividualBoxHigh;IndividualBoxWiidth;IndividualBoxLengh; IndividualBoxVolume;IndividualBoxWeight;IP;ElectricClass;BulbIncluded;BulbDescription;Driver/ballst/transformer_Included ;Driver/Transformer/Ballast_Description;Material;Quantity;PVP;Barcode;CustumDutyCode
0;01014               ;NIKO APLIQUE IZQUIERDO 6W 3000K INDUCCION                                                           ;0,7;300;220;145;0;0;0;0;0;0;45;75;265;0,000894;0,7;20;II  ;1;SMD LED 7W 3000K 500Lm                                                                              ;1;;ALUMINIO + CRISTAL OPAL                                                                             ;0;225;8421776142053;9405109890
0;01015               ;TAKE AWAY PORTATIL RECARGABLE BLANCA LED 3W 3000K                                                   ;0,32;118;200;0;0;480;320;730;11;0,112829;215;153;153;0,005033;0,5;20;III ;1;730;1;USB DC5V 2A DRIVER IN                                                                               ;CUERPO DE PC  BASE MADERA (Hevea brasiliensis).                                                     ;0;130;8421776146495;9405102190
0;01016               ;TAKE AWAY PORTATIL RECARGABLE NEGRA LED 3W 3000K                                                    ;0,32;118;200;0;0;480;320;730;11;0,112829;215;153;153;0,005033;0,5;20;III ;1;LED 3W 3000K 1W -15H / 2W-10H / 3W 5H RECARGA 3/4 HORAS                                             ;1;USB DC5V 2A DRIVER IN                                                                               ;CUERPO DE PC BASE DE MADERA (Hevea brasiliensis)                                                    ;0;130;8421776146501;9405102190
0;01017               ;TAKE AWAY ACCESORIO APLIQUE                                                                         ;0,03;0;2;0;4;40;52;52;8,449;0;40;52;52;0,0001;0,017;;III ;0;;0;;CUERPO DE MADERA                                                                                    ;0;15;8421776146518;4421999999
0;01025               ;NIKO PC BASE SOBREMESA DERECHA LED 7W 3000K INDUC                                                   ;1,6;300;220;145;0;0;0;0;0;0;165;165;320;0,008712;0;20;II  ;1;LED 7W 3000K 530Lm                                                                                  ;1;;CUERPO DE METAL DIFUSOR PMMA OPAL                                                                   ;0;180;8421776168008;9405109890
0;01026               ;NIKO PC APLIQUE IZQUIERDO                                                                           ;0,7;300;220;145;0;0;0;0;0;0;165;165;320;0,008712;0;20;II  ;1;SMD LED 7W 3000K 500Lm                                                                              ;1;;CUERPO DE METAL DIFUSOR CRISTAL OPAL                                                                ;0;225;8421776168015;9405109890
0;01027               ;NIKO PC APLIQUE DERECHO                                                                             ;0,7;300;220;145;0;0;0;0;0;0;165;165;320;0,008712;0;20;II  ;1;LED 7W 3000K 500Lm                                                                                  ;1;;CUERPO DE METAL DIFUSOR CRISTAL OPAL                                                                ;0;225;8421776168022;9405109890
0;01040               ;BOARD APLIQUE PIZARRA LED 7W 2700K                                                                  ;2,42;350;0;0;350;400;40;405;13;0,04;400;40;405;0,0072;2,6;20;I   ;1;LED 7W 2700K 1280 lms                                                                               ;1;;CUERPO DE METAL Y DIFUSOR DE PMMA                                                                   ;0;119;8421776169296;9405109890
0;01046               ;GUEST PIE DE SALON NEGRO 1xE27                                                                      ;0;560;1060;400;0;100;450;1100;0;0,0495;100;450;1100;0,0495;0;;;0;1xE27                                                                                               ;0;;CUERPO DE ALUMINIO                                                                                  ;0;296,8;8421776183223;9405109890
0;01000               ;HAN PERCHERO BLANCO LED 6W 2700K                                                                    ;2,8;1010;66;250;0;1000;303;585;16,8;0,177255;985;100;280;0,02758;2,8;20;I   ;1;LED 6W 2700K 500 Lm                                                                                 ;1;DRIVER IN 500mA                                                                                     ;CUERPO DE METAL DIFUSOR PMMA OPAL                                                                   ;0;165;8421776116405;9405109890
