sku;;stock
0004029;CUADRAX*SN* APLIQUE 1L;13,00
0004030;CUADRAX*SN* APLIQUE 2L;22,00
0004031;CUADRAX*SN* SOBREMESA 1L;26,00
0004045;CUADRAX*SN* LAMPARA TELESCOPICA 6L;9,00
0004046;CUADRAX*SN* LAMPARA TELESCOPICA 8L;17,00
0004049;CUADRAX*SN* SEMIPLAFON 4L;8,00
0301;***OFER/DES*** FLA*CR* LAMPARA 6L;13,00
0305;***OFER/DES*** FLA*CR* SEMIPLAFON 4L;17,00
0309;***OFER/DES*** FLA*CR* SOBREMESA 1L;2,00
0341;***OFER/DES*** VIE-PAN-CR* LAMPARA 8L (Telescopica);20,00
0348;***OFER/DES*** VIE-PAN-CR* APLIQUE 2L;19,00
0350;***OFER/DES*** VIE-PAN-CR* SOBREMESA 2L;4,00
0351;***OFER/DES*** VIE-PAN-CU* LAMPARA 8L (Telescopica);5,00
0358;***OFER/DES*** VIE-PAN-CU* APLIQUE 2L;9,00
0360;***OFER/DES*** VIE-PAN-CU* SOBREMESA 2L;37,00
0368;***OFER/DES*** FLA*CU* APLIQUE 1L;1,00
0370;***OFER/DES*** FLA*CU* SOBREMESA 1L;1,00
0427;***OFER/DES*** ALFA*CR* SOBREMESA 2L;8,00
0460;***OFER/DES*** VIE-PAN-CR* PIE DE SALON 1L;1,00
0568;***OFER/DES*** ALFA*CU* LAMPARA 5L (Telescopica);7,00
0770;ZACK * COLGANTE 3L CIRCULAR;7,00
0772;ZACK * COLGANTE 1L;21,00
0773;ZACK * APLIQUE 1L;25,00
0774;ZACK * SOBREMESA 1L;21,00
0775;ZACK * PIE SALON 1L;25,00
0780;AKIRA*N* LAMPARA 8L;3,00
0781;AKIRA*N* LAMPARA 6L;12,00
0782;AKIRA*N* LAMPARA 5L;1,00
0783;AKIRA*N* LAMPARA 3L;9,00
0784;AKIRA*N* COLGANTE 4L;35,00
0786;AKIRA*N* APLIQUE 1L;8,00
0789;AKIRA*N* SOBREMESA 1L;7,00
0790;AKIRA*N* SOBREMESA 2L;24,00
0792;AKIRA*N* LAMPARA 8+4L;5,00
0801;***DES*** BALI*CR*G9* LAMPARA 6L;2,00
0802;***DES*** BALI*CR*G9* LAMPARA 4L;16,00
0804;***DES*** BALI*CR*G9* SEMIPLAFON 4L;23,00
0807;***DES*** BALI*CR*G9* PLAFON 4L;15,00
0808;***DES*** BALI*CR*G9* PLAFON 3L;1,00
0809;***DES*** BALI*CR*G9* LAMPARA LINEAL 5L;4,00
0812;***DES*** BALI*CR*G9* PLAFON 1L;15,00
0860;***OFER/DES*** KROM*CU* LAMPARA LINEAL 4L;3,00
0867;***OFER/DES*** KROM*CU* LAMPARA CIRCULAR 6L;27,00
0869;***OFER/DES*** KROM*CU* SEMIPLAFON LINEAL 2L;26,00
0875;***OFER/DES*** KROM*CU* SOBREMESA 1L;5,00
0876;***OFER/DES*** KROM*CU* SOBREMESA 2L;28,00
0881;***OFER/DES*** KROM*CR* LAMPARA 4L;5,00
0896;***OFER/DES*** KROM*CR* SOBREMESA 2L;21,00
0924PU;***OFER/DES*** POP*B* SOBREMESA 1L (PU);15,00
0926PU;***OFER/DES***POP*B* SEMIPLAFON CONVERTIBLE PLAFON 6L (PU);3,00
0930;AKIRA*B* LAMPARA 8L;21,00
0931;AKIRA*B* LAMPARA 6L;7,00
0933;AKIRA*B* LAMPARA 3L;16,00
0934;AKIRA*B* COLGANTE 4L;7,00
0935;AKIRA*B* PLAFON 4L;25,00
