Familia;Referencia;Descripción;Acabado;Fuente de luz; Precio
ADN BLANCO;6260;Lámpara LED Grande;Blanco;LED 100W - 3000K - 4580 LMS - 220-240V~50/60Hz;428,79
ADN BLANCO;6261;Lámpara LED Mediana;Blanco;LED 72W - 3000K - 3300 LMS - 220-240V~50/60Hz;305,69
ADN BLANCO;6262;Lámpara LED Linea;Blanco;LED 36W - 3000K - 1650 LMS - 220-240V~50/60Hz;141,36
ADN BLANCO;6263;Aplique LED Grande;Blanco;LED 48W - 3000K - 2200 LMS - 220-240V~50/60Hz;231,69
ADN BLANCO;6264;Aplique LED Mediano;Blanco;LED 24W - 3000K - 1100 LMS - 100-250V~50/60Hz;121,03
ADN BLANCO;6265;Aplique LED Pequeño 2L;Blanco;LED 6W - 3000K - 275 LMS - 100-250V~50/60Hz;47,03
ADN BLANCO;6266;Aplique LED Pequeño 1L;Blanco;LED 3W - 3000K - 140 LMS - 100-250V~50/60Hz;25,59
ADN BLANCO;6267;Sobremesa LED;Blanco;LED 9W - 3000K - 410 LMS - 220-240V~50/60Hz;95,44
ADN BLANCO;6268;Pie De Salón LED ;Blanco;LED 30W - 3000K - 1375 LMS - 220-240V~50/60Hz;225,46
ADN BLANCO;6415;Plafón LED Grande  ;Blanco;LED 100W - 3000K - 4580 LMS - 220-240V~50/60Hz;383,63
ADN BLANCO;6416;Plafón LED Pequeño;Blanco;LED 72W - 3000K - 3300 LMS - 220-240V~50/60Hz;271,68
ADN NEGRO;6417;Lámpara LED Grande;Negro;LED 100W - 3000K - 4580 LMS - 220-240V~50/60Hz;428,79
ADN NEGRO;6418;Lámpara LED Linea;Negro;LED 36W - 3000K - 1650 LMS - 220-240V~50/60Hz;149,39
ADN NEGRO;6419;Aplique LED Mediano;Negro;LED 24W - 3000K - 1100 LMS - 100-250V~50/60Hz;121,03
ADN NEGRO;6420;Aplique LED Pequeño 2L;Negro;LED 6W - 3000K - 275 LMS - 100-250V~50/60Hz;47,03
ADN NEGRO;6421;Pie De Salón LED ;Negro;LED 30W - 3000K - 1375 LMS - 220-240V~50/60Hz;225,46
ADN NEGRO;6422;Plafón LED Grande  ;Negro;LED 100W - 3000K - 4580 LMS - 220-240V~50/60Hz;383,63
ADN NEGRO;6423;Plafón LED Pequeño;Negro;LED 72W - 3000K - 3300 LMS - 220-240V~50/60Hz;271,68
AIRE LED;5910;Lámpara LED  Dimable;Plata Cromo;LED 60W - 3000K - 4800 LMS - AC220-240V 50/60Hz;394,82
AIRE LED;5912;Lámpara LED  Dimable;Plata Cromo;LED 42W - 3000K - 3700 LMS - AC220-240V 50/60Hz;293,58
AIRE LED;5914;Lámpara LED ;Plata Cromo;LED 42W - 3000K - 3700 LMS - AC100-240V 50/60Hz;268,61
AIRE LED;5917;Plafón LED  Dimable;Plata Cromo;LED 42W - 3000K - 3700 LMS - 220-240V~50/60Hz;291,56
AIRE LED;6030;Plafón LED ;Plata Cromo;LED 42W - 3000K - 3700 LMS - 100-240V~50/60Hz;268,61
AKIRA CROMO P. CREMA;930;Lámpara ;Cromo;8 x E14 (No Incl.);382,20
AKIRA CROMO P. CREMA;931;Lámpara ;Cromo;6 x E14 (No Incl.);232,05
AKIRA CROMO P. CREMA;932;Lámpara ;Cromo;5 x E14 (No Incl.);249,60
AKIRA CROMO P. CREMA;933;Lámpara ;Cromo;3 x E14 (No Incl.);156,01
AKIRA CROMO P. CREMA;934;Lámpara ;Cromo;4 x E27 (No Incl.);118,96
AKIRA CROMO P. CREMA;935;Plafón ;Cromo;4 x E27 (No Incl.);103,35
AKIRA CROMO P. CREMA;936;Aplique ;Cromo;1 x E14 (No Incl.);50,70
AKIRA CROMO P. CREMA;937;Aplique ;Cromo;2 x E14 (No Incl.);76,05
AKIRA CROMO P. CREMA;938;Aplique ;Cromo;3 x E14 (No Incl.);91,65
AKIRA CROMO P. CREMA;939;Sobremesa ;Cromo;1 x E14 (No Incl.);72,15
AKIRA CROMO P. CREMA;940;Sobremesa ;Cromo;2 x E14 (No Incl.);93,61
AKIRA CROMO P. CREMA;942;Lámpara ;Cromo;12 x E14 (No Incl.);680,55
AKIRA CROMO P. NEGRA;780;Lámpara ;Cromo;8 x E14 (No Incl.);382,20
AKIRA CROMO P. NEGRA;781;Lámpara ;Cromo;6 x E14 (No Incl.);232,05
AKIRA CROMO P. NEGRA;782;Lámpara ;Cromo;5 x E14 (No Incl.);249,60
AKIRA CROMO P. NEGRA;783;Lámpara ;Cromo;3 x E14 (No Incl.);156,01
AKIRA CROMO P. NEGRA;784;Lámpara ;Cromo;4 x E27 (No Incl.);118,96
AKIRA CROMO P. NEGRA;785;Plafón ;Cromo;4 x E27 (No Incl.);103,35
AKIRA CROMO P. NEGRA;786;Aplique ;Cromo;1 x E14 (No Incl.);50,70
AKIRA CROMO P. NEGRA;787;Aplique ;Cromo;2 x E14 (No Incl.);76,05
AKIRA CROMO P. NEGRA;788;Aplique ;Cromo;3 x E14 (No Incl.);91,65
