ITEMID;CONFIGID;STOCK;FECHAPROX
160320;;0;06/06/2020
160563;;0;12/06/2020
160785;;0;06/06/2020
174414R02;;0;
183653;;0;26/06/2020
266251N;;0;06/06/2020
266782N;;0;06/06/2020
266847;;0;06/06/2020
328326;;0;17/07/2020
346109;;0;15/06/2020
373075;;0;12/06/2020
394782R01;;0;
411-00;;0;26/09/2020
415-00;;0;
429126;;0;06/06/2020
456231D;;0;06/06/2020
456453D;;0;17/07/2020
482164;;0;30/05/2020
496640;;0;17/07/2020
508111R01;;0;
508424;;0;26/06/2020
508718;;0;30/05/2020
508718D;;0;
532115;;0;17/07/2020
553106;;0;05/06/2020
580919;;0;19/06/2020
591762;;0;
594629;;0;12/06/2020
594782N;;0;12/06/2020
618859;;0;06/06/2020
654227;;0;06/06/2020
661499;;0;
661543UK;;0;
662514;;0;06/06/2020
662514UK;;0;06/06/2020
663542;;0;30/05/2020
697825;;0;26/06/2020
697825UK;;0;
713016;;0;06/06/2020
716153;;0;06/06/2020
716478;;0;06/06/2020
716478D;;0;
725106;;0;06/06/2020
725751;;0;01/06/2020
736543;;0;17/07/2020
736543D;;0;
742350;;0;12/06/2020
764011;;0;06/06/2020
773106;;0;06/06/2020
775922;;0;12/06/2020
784347;;0;06/06/2020
784347R01;;0;
786485;;0;30/05/2020
787017;;0;10/07/2020
792572;;0;12/06/2020
793960;;0;11/06/2020
793960D;;0;
793960G;;0;06/06/2020
793960GD;;0;
794218;;0;12/06/2020
810637;;0;17/07/2020
827635;;0;06/06/2020
827635R01;;0;
832139;;0;12/06/2020
851472;;0;03/07/2020
854196N;;0;06/06/2020
854275;;0;31/05/2020
854537D;;0;
854537N;;0;06/06/2020
872469;;0;06/06/2020
872469D;;0;
873079;;0;10/07/2020
873079D;;0;
874192;;0;10/07/2020
876124;;0;12/06/2020
876124D;;0;
14422;;1;
14430;;1;
14442;;1;
2064D;;1;
2067;;1;
2069LT;;1;
275836;;1;07/06/2020
305850;;1;
373579;;1;26/06/2020
375438;;1;
394647;;1;06/06/2020
400-00;;1;
400-002;;1;
400-01/03;;1;
400-05;;1;
400-05/02;;1;
400-15/01;;1;
400-43;;1;
400-50/02;;1;
404-01/180;;1;
404-22;;1;
411-50;;1;
412-00;;1;
412-01/200;;1;
412-03/01;;1;
415-01/150;;1;
415-08;;1;
420-00;;1;26/09/2020
420-01/200;;1;
420-04;;1;
420-08/01;;1;
434-00;;1;
434-03;;1;
434-08;;1;
434-12;;1;
436-00;;1;
436-03;;1;
436-04;;1;
436-80;;1;
438-00;;1;
438-01/180;;1;
438-03;;1;
438-04;;1;
438-24;366;1;
438-50;;1;
440-00;;1;
440-01/270;;1;
440-04;;1;
440-04/2;;1;
440-08/01;;1;
440-14/90;;1;
440-54/01;;1;
446-01/300;;1;
446-15/02;;1;
456453R02;;1;
475-20;;1;
481541;;1;10/07/2020
481541D;;1;28/05/2020
485470;;1;24/07/2020
508030;;1;06/06/2020
508030D;;1;
536844;;1;06/06/2020
580919UK;;1;
591983;;1;27/03/2020
661418;;1;06/06/2020
661418UK;;1;06/06/2020
663023;;1;06/06/2020
663023UK;;1;06/06/2020
683759;;1;
689127;;1;26/06/2020
7374;;1;
7452;;1;
75064543;;1;26/09/2020
75074542;;1;
758022;;1;16/05/2020
77;;1;
783618;;1;17/07/2020
783618D;;1;
786351;;1;06/06/2020
786716;;1;26/06/2020
792538;;1;06/06/2020
793258;;1;12/05/2020
793258D;;1;05/06/2020
810637D;;1;26/09/2020
874426;;1;
877342;;1;
163846;;2;06/06/2020
174011R01;;2;26/09/2020
2062LD;;2;
2064LD;;2;
2069D;;2;
213547;;2;06/06/2020
213547UK;;2;
266172;;2;06/06/2020
316872;;2;06/06/2020
391653;;2;06/06/2020
400-01/200;;2;
400-02/02 DER;;2;
400-02/02 IZDA;;2;
412-02/01;;2;
412-04/01;;2;
412-07/01;;2;
412-08/01;;2;
415-02;;2;
420-02;;2;
434-01/180;;2;
434-02/01;;2;
436-07;;2;
438-02;25;2;
438-21;366;2;
443-55;;2;
446-01/200;;2;
456342;;2;06/06/2020
473859;;2;
5017S;;2;
508323R01;;2;26/09/2020
584438D;;2;06/06/2020
591684;;2;19/06/2020
60134;;2;26/09/2020
612547R01;;2;
618492;;2;
619007UK;;2;
662536;;2;26/06/2020
663565R01;;2;26/09/2020
671347R01;;2;
697943;;2;06/06/2020
710936;;2;
716583;;2;06/06/2020
75651547;;2;
756729;;2;10/07/2020
776538;;2;
785861;;2;
785861D;;2;
786645;;2;26/06/2020
793269;;2;07/06/2020
793269D;;2;04/06/2020
794691;;2;06/06/2020
794691D;;2;
820426;2059;2;06/06/2020
820426;2060;2;06/06/2020
827746;;2;06/06/2020
832128;;2;12/06/2020
860218;;2;06/06/2020
863964;;2;26/06/2020
867012;;2;28/05/2020
876352;;2;06/06/2020
876873;2071;2;06/06/2020
876873;2082;2;06/06/2020
876873;2084;2;06/06/2020
877019;;2;
193182R01;;3;
2059;;3;12/06/2020
2062;;3;
2069;;3;12/06/2020
213226;;3;06/06/2020
213301;;3;16/05/2020
266544N;;3;12/06/2020
266695;;3;10/07/2020
266695UK;;3;10/07/2020
29-E47;;3;
301012;;3;
305507;;3;26/09/2020
373579UK;;3;
434-04;;3;
436-02;;3;
508931UK;;3;
579930G9;;3;26/09/2020
579930G9D;;3;26/09/2020
591538;;3;
618914;;3;
663554R01;;3;26/09/2020
679215N;;3;17/07/2020
687355;;3;
70721001;;3;
716153UK;;3;
735836R01;;3;26/09/2020
7437;;3;
7441;;3;
745201;;3;
785635;;3;06/06/2020
785635D;;3;28/05/2020
786430;;3;10/07/2020
831622;;3;06/06/2020
847118;;3;
863624;;3;
876352D;;3;
877503;;3;
892519;;3;
152461;;4;
174414R01;;4;26/09/2020
2073;;4;06/06/2020
2113;;4;
345381;;4;
373629UK;;4;26/09/2020
377523;;4;06/06/2020
391329;;4;26/06/2020
391329UK;;4;
394782R02;;4;
494378;;4;24/07/2020
496503;;4;17/07/2020
50121S;;4;
543962;;4;12/06/2020
584438;;4;06/06/2020
589204;;4;02/06/2020
618271;;4;06/06/2020
625654;;4;
648175;;4;06/06/2020
662536UK;;4;
690217;;4;
70122;;4;26/09/2020
70201;;4;26/09/2020
70421;;4;26/09/2020
736198;;4;
754306;;4;
757186;;4;
792425;2073;4;06/06/2020
821629;;4;06/06/2020
860752;2083;4;26/09/2020
872478D;;4;
872593;;4;06/06/2020
956235;;4;
1447R02;;5;26/09/2020
152461D;;5;
174213;;5;06/06/2020
183431;;5;06/06/2020
2061LD;;5;26/09/2020
2083;;5;26/09/2020
266544NUK;;5;09/07/2020
287693;;5;06/06/2020
346246;;5;
48R03;;5;26/09/2020
5008S;;5;
507039R01;;5;26/09/2020
507514R02;;5;
507818;;5;14/06/2019
542013;;5;06/06/2020
564803R01;;5;26/09/2020
564916;;5;06/06/2020
571631R01;;5;26/09/2020
584541;;5;06/06/2020
593429;;5;08/06/2020
625211;;5;
679215D;;5;26/09/2020
689253;;5;
689253D;;5;
691573;;5;
692514R02;;5;26/09/2020
70101;;5;26/09/2020
70155;;5;26/09/2020
70605;;5;26/09/2020
7148;;5;
820318;;5;06/06/2020
825306UKR01;;5;
876113;;5;06/06/2020
876113D;;5;
876360;;5;06/06/2020
2064;;6;
2071LD;;6;26/09/2020
2082LD;;6;
2112;;6;
266753;;6;06/06/2020
290152;;6;
345509;;6;03/07/2020
345509D;;6;
357960LT;;6;
371102;;6;02/06/2020
394318;;6;06/06/2020
411-08;;6;
436462;;6;
436462UK;;6;
457491;;6;06/06/2020
483490;;6;
485562;;6;24/07/2020
508516;;6;06/06/2020
542013D;;6;
584326;;6;07/06/2020
618547R01;;6;26/09/2020
618609;;6;
618716;;6;03/07/2020
651431;;6;21/03/2020
653841;;6;
70302;;6;26/09/2020
70350;;6;26/09/2020
741563;;6;
762905;;6;10/07/2020
773421;;6;06/06/2020
782619;;6;26/09/2020
786966;;6;06/06/2020
787253;;6;10/07/2020
792107;20691;6;12/06/2020
814256;;6;10/07/2020
831635;;6;12/06/2020
860218R03;;6;26/09/2020
876360D;;6;
932401;;6;
2060;;7;12/06/2020
2113LT;;7;
266284;;7;06/06/2020
266616N;;7;10/07/2020
266616NUK;;7;10/07/2020
297028;;7;
346573;;7;10/07/2020
373067;;7;12/06/2020
375325;;7;
387218;;7;26/09/2020
456231;;7;06/06/2020
482033;;7;06/06/2020
507413R01;;7;26/09/2020
508516R01;;7;
532906;;7;31/07/2020
553616;;7;
584541D;;7;26/06/2020
594894;;7;
596912;;7;
625769;;7;
685364;;7;
697825UKR01;;7;
70454;;7;26/09/2020
716620;;7;06/06/2020
764123;;7;06/06/2020
774697;;7;08/06/2020
785648;;7;06/06/2020
785648D;;7;28/05/2020
786831;;7;26/06/2020
793659;;7;06/06/2020
793659D;;7;
814263;;7;10/07/2020
827635R03;;7;
827635R04;;7;26/09/2020
895260;;7;
954129;;7;26/09/2020
2060LD;;8;26/09/2020
364355;;8;06/06/2020
364355D;;8;28/05/2020
373357;;8;18/09/2020
394460R01;;8;
462812;;8;06/06/2020
48R06;;8;26/09/2020
496925;;8;06/06/2020
507818UK;;8;
520783;;8;29/02/2020
520783D;;8;
541461R01;;8;
541870R01;;8;26/09/2020
542013R01;;8;26/09/2020
553095;;8;05/06/2020
563958;;8;
579814G9;;8;
579814G9D;;8;
661946N;;8;06/06/2020
711132;;8;06/06/2020
716620D;;8;
746709;;8;
753251;;8;
754192;;8;26/09/2020
787024;;8;06/06/2020
827494R01;;8;
836104UKR01;;8;26/09/2020
872956;;8;
1472;;9;
2059P;;9;26/09/2020
213455;;9;26/06/2020
305284;;9;26/09/2020
316704;;9;06/06/2020
346011;;9;15/06/2020
346357;;9;26/06/2020
346357UK;;9;
373357D;;9;
397319;;9;
492061;;9;
492061UK;;9;
541450;;9;06/06/2020
614157;;9;06/06/2020
625432;;9;
653608;;9;06/06/2020
662199;;9;06/06/2020
679526N;;9;06/06/2020
696252;;9;
7075;;9;06/06/2020
7502;;9;
7534;;9;
763592;;9;10/07/2020
773572;;9;06/06/2020
783741;;9;06/06/2020
794172;;9;06/06/2020
810871;;9;06/06/2020
872258;;9;
938346;;9;26/09/2020
160674;;10;12/06/2020
2071;;10;06/06/2020
266028;;10;06/06/2020
266822N;;10;06/06/2020
266946;;10;06/06/2020
287760;;10;06/06/2020
305137;;10;26/09/2020
305714;;10;26/09/2020
461831;;10;
480152;;10;06/06/2020
514223R01;;10;26/09/2020
514223R02;;10;26/09/2020
541450R01;;10;
589316;;10;06/06/2020
60112;;10;26/09/2020
60123;;10;26/09/2020
618318;;10;26/06/2020
661946NUK;;10;
70806;;10;26/09/2020
791248;;10;06/06/2020
842016;;10;26/09/2020
2061;;11;26/09/2020
29-E16;;11;10/07/2020
305429;;11;26/09/2020
3063;;11;
324281UKR01;;11;26/09/2020
346766;;11;
494634R01;;11;
