ITEMID;CONFIGID;STOCK;FECHAPROX;;;
112512;;23;4/7/20;;;
112638;;25;;;;
118624;;19;;;;
119015;;71;4/7/20;;;
119122;;74;4/7/20;;;
119238;;25;4/7/20;;;
119344;;21;14/3/20;;;
119481;;0;1/5/20;;;
1218;;21;;;;
124011;;47;4/7/20;;;
124346;;24;16/3/20;;;
124465;;53;4/7/20;;;
127011;;32;4/7/20;;;
127127;;51;4/7/20;;;
127233;;37;1/5/20;;;
127387;;20;14/3/20;;;
1280;;66;;;;
130963;;21;1/5/20;;;
1361;;21;;;;
1419;;16;;;;
14422;;1;;;;
14430;;1;;;;
14442;;1;;;;
1446R02;;25;4/7/20;;;
1447R02;;5;4/7/20;;;
1448R02;;21;4/7/20;;;
1465;;208;;;;
1472;;9;;;;
148193;;23;14/3/20;;;
148277;;32;24/4/20;;;
152461;;9;;;;
152461D;;0;;;;
160320;;64;14/3/20;;;
160451;;32;4/7/20;;;
160563;;35;1/5/20;;;
160674;;41;26/6/20;;;
160785;;31;14/3/20;;;
160974;;27;14/3/20;;;
161022;;21;14/3/20;;;
161461;;18;;;;
161461UK;;18;;;;
163846;;1;24/4/20;;;
174011;;19;14/3/20;;;
174011R01;;2;4/7/20;;;
174112;;2;14/3/20;;;
174112D;;0;4/7/20;;;
174112R01;;51;;;;
174213;;28;24/4/20;;;
174414;;62;4/7/20;;;
174414R01;;4;4/7/20;;;
174414R02;;0;;;;
174414UK;;62;4/7/20;;;
174631;;30;;;;
182504;;7;18/3/20;;;
183201;;48;24/4/20;;;
183320;;28;14/3/20;;;
183431;;9;14/3/20;;;
183542;;37;26/6/20;;;
183542R01;;16;;;;
183542R02;;79;;;;
183542UK;;38;;;;
183653;;11;14/3/20;;;
184136;;25;1/5/20;;;
193091;;86;24/4/20;;;
193182R01;;29;;;;
193273;;189;24/4/20;;;
193364;;40;4/7/20;;;
193364D;;;4/7/20;;;
193453;;90;4/7/20;;;
193453D;;;4/7/20;;;
193539;;12;24/4/20;;;
193539D;;0;4/7/20;;;
195381;;28;;;;
195627;;44;14/3/20;;;
198321;;41;4/7/20;;;
198533;;62;4/7/20;;;
205296;;35;17/4/20;;;
2059;;4;1/5/20;;;
2059P;;10;4/7/20;;;
2060;;12;29/5/20;;;
2060LD;;8;4/7/20;;;
2061;;11;4/7/20;;;
2061LD;;5;4/7/20;;;
2062;;3;;;;
2062LD;;2;;;;
2064;;6;;;;
2064D;;1;;;;
2064LD;;2;;;;
2067;;1;;;;
2069;;0;14/3/20;;;
2069D;;2;;;;
2069LT;;1;;;;
2070;;7;14/3/20;;;
2071;;14;16/3/20;;;
2071LD;;6;4/7/20;;;
2072;;28;4/7/20;;;
2073;;9;14/3/20;;;
2082;;30;16/3/20;;;
2082LD;;6;;;;
2083;;6;4/7/20;;;
2084;;28;4/7/20;;;
2112;;6;;;;
2113;;4;;;;
2113LT;;7;;;;
213111;;46;29/5/20;;;
213226;;16;16/3/20;;;
213301;;9;24/4/20;;;
213455;;13;26/6/20;;;
213547;;6;14/3/20;;;
213547UK;;6;;;;
213639;;22;;;;
213639D;;;4/7/20;;;
213790;;23;4/7/20;;;
213790D;;2;4/7/20;;;
213868;;31;26/6/20;;;
250516N;;9;14/3/20;;;
257685;;27;;;;
266028;;48;14/3/20;;;
266035N;;127;4/7/20;;;
266172;;0;14/3/20;;;
266172R01;;182;4/7/20;;;
266251N;;11;14/3/20;;;
266284;;69;14/3/20;;;
266284R01;;92;4/7/20;;;
266290;;49;4/7/20;;;
266426;;18;;;;
266544N;;0;14/3/20;;;
266544NUK;;0;;;;
266577;;20;14/3/20;;;
266577UK;;22;;;;
266616N;;6;29/2/20;;;
266616NUK;;6;14/3/20;;;
266695;;3;5/6/20;;;
266695UK;;3;5/6/20;;;
266724;;35;14/3/20;;;
266753;;14;14/3/20;;;
266782N;;45;14/3/20;;;
266822N;;11;14/3/20;;;
266847;;19;14/3/20;;;
266866;;31;14/3/20;;;
266946;;22;14/3/20;;;
266973N;;5;14/3/20;;;
