ITEMID	CONFIGID	STOCK	FECHAPROX
112512		23	04/07/2020
112638		25	
118624		19	
119015		71	04/07/2020
119122		74	04/07/2020
119238		25	04/07/2020
119344		21	14/03/2020
119481		0	01/05/2020
1218		21	
124011		47	04/07/2020
124346		24	16/03/2020
124465		53	04/07/2020
127011		32	04/07/2020
127127		51	04/07/2020
127233		37	01/05/2020
127387		20	14/03/2020
1280		66	
130963		21	01/05/2020
1361		21	
1419		16	
14422		1	
14430		1	
14442		1	
1446R02		25	04/07/2020
1447R02		5	04/07/2020
1448R02		21	04/07/2020
1465		208	
1472		9	
148193		23	14/03/2020
148277		32	24/04/2020
152461		9	
152461D		0	
160320		64	14/03/2020
160451		32	04/07/2020
160563		35	01/05/2020
160674		41	26/06/2020
160785		31	14/03/2020
160974		27	14/03/2020
161022		21	14/03/2020
161461		18	
161461UK		18	
163846		1	24/04/2020
174011		19	14/03/2020
174011R01		2	04/07/2020
174112		2	14/03/2020
174112D		0	04/07/2020
174112R01		51	
174213		28	24/04/2020
174414		62	04/07/2020
174414R01		4	04/07/2020
174414R02		0	
174414UK		62	04/07/2020
174631		30	
182504		7	18/03/2020
183201		48	24/04/2020
183320		28	14/03/2020
183431		9	14/03/2020
183542		37	26/06/2020
183542R01		16	
183542R02		79	
183542UK		38	
183653		11	14/03/2020
184136		25	01/05/2020
193091		86	24/04/2020
193182R01		29	
193273		189	24/04/2020
193364		40	04/07/2020
193364D			04/07/2020
193453		90	04/07/2020
193453D			04/07/2020
193539		12	24/04/2020
193539D		0	04/07/2020
195381		28	
195627		44	14/03/2020
198321		41	04/07/2020
198533		62	04/07/2020
205296		35	17/04/2020
2059		4	01/05/2020
2059P		10	04/07/2020
2060		12	29/05/2020
2060LD		8	04/07/2020
2061		11	04/07/2020
2061LD		5	04/07/2020
2062		3	
2062LD		2	
2064		6	
2064D		1	
2064LD		2	
2067		1	
2069		0	14/03/2020
2069D		2	
2069LT		1	
2070		7	14/03/2020
2071		14	16/03/2020
2071LD		6	04/07/2020
2072		28	04/07/2020
2073		9	14/03/2020
2082		30	16/03/2020
2082LD		6	
2083		6	04/07/2020
2084		28	04/07/2020
2112		6	
2113		4	
2113LT		7	
213111		46	29/05/2020
213226		16	16/03/2020
213301		9	24/04/2020
213455		13	26/06/2020
213547		6	14/03/2020
213547UK		6	
213639		22	
213639D			04/07/2020
213790		23	04/07/2020
213790D		2	04/07/2020
213868		31	26/06/2020
250516N		9	14/03/2020
257685		27	
266028		48	14/03/2020
266035N		127	04/07/2020
266172		0	14/03/2020
266172R01		182	04/07/2020
266251N		11	14/03/2020
266284		69	14/03/2020
266284R01		92	04/07/2020
266290		49	04/07/2020
266426		18	
266544N		0	14/03/2020
266544NUK		0	
266577		20	14/03/2020
266577UK		22	
266616N		6	29/02/2020
266616NUK		6	14/03/2020
266695		3	05/06/2020
266695UK		3	05/06/2020
266724		35	14/03/2020
266753		14	14/03/2020
266782N		45	14/03/2020
266822N		11	14/03/2020
266847		19	14/03/2020
266866		31	14/03/2020
266946		22	14/03/2020
266973N		5	14/03/2020
268172		15	20/03/2020
273954		32	
275836		2	24/04/2020
281096		69	04/07/2020
281275		78	04/07/2020
281275D		0	04/07/2020
281360		71	
281360D		0	04/07/2020
281483		91	
287506		12	14/03/2020
287693		2	24/04/2020
287753		74	
287760		14	14/03/2020
290152		6	
295183		10	18/03/2020
296243		49	
29-E07/150		51	14/03/2020
29-E07/178		40	14/03/2020
29-E07/90		51	14/03/2020
29-E13		55	16/03/2020
29-E16		3	16/03/2020
29-E23		49	04/07/2020
29-E35		19	16/03/2020
29-E47		3	
301012		7	
302915		1	
305137		13	04/07/2020
305284		11	04/07/2020
305391		29	04/07/2020
305429		13	04/07/2020
305507		4	04/07/2020
305714		11	04/07/2020
305850		1	
305963		24	04/07/2020
3063		11	
3075		207	
316451		33	29/02/2020
316451UK		40	
316704		15	17/04/2020
316872		5	17/04/2020
