referencia;precio
6260;428,79 
6261;305,69 
6262;141,36 
6263;231,69 
6264;121,03 
6265;47,03 
6266;25,59 
6267;95,44 
6268;225,46 
6415;383,63 
6416;271,68 
6417;428,79 
6418;149,39 
6419;121,03 
6420;47,03 
6421;225,46 
6422;383,63 
6423;271,68 
5910;394,82 
5912;293,58 
5914;268,61 
5917;291,56 
6030;268,61 
0930;382,20 
0931;232,05 
0932;249,60 
0933;156,01 
0934;118,96 
0935;103,35 
0936;50,70 
0937;76,05 
0938;91,65 
0939;72,15 
0940;93,61 
0942;680,55 
0780;382,20 
0781;232,05 
0782;249,60 
0783;156,01 
0784;118,96 
0785;103,35 
0786;50,70 
0787;76,05 
0788;91,65 
0789;72,15 
0790;93,61 
0792;680,55 
5860;261,30 
5861;157,95 
5862;118,96 
5863;157,95 
5864;232,05 
6705;219,00 
6706;219,00 
6707;219,00 
7045;28,90 
7046;28,90 
6310;606,75 
6311;450,68 
6312;536,49 
6314;370,27 
6315;224,32 
6316;95,28 
6317;66,89 
6318;108,11 
6319;79,73 
6320;264,86 
6330;625,00 
6331;463,51 
6332;551,35 
6334;378,38 
6335;232,43 
6336;98,65 
6337;70,26 
6338;112,15 
6339;83,78 
6340;278,38 
6485;60,50 
6486;76,80 
6487;68,70 
6488;84,80 
6270;74,14 
6272;53,04 
7310;60,46 
7311;190,66 
6540;74,80 
6541;74,80 
6640;188,68 
6641;154,98 
6642;86,92 
6643;49,86 
6644;35,72 
5040R;214,29 
5041R;158,94 
5042R;117,12 
5043R;229,09 
5044R;164,09 
5045R;109,39 
5046;70,78 
5047;49,55 
4843E;144,87 
4846E;129,01 
4848E;129,01 
4849E;95,20 
5211;142,21 
5213;153,62 
5214;110,27 
5216;39,55 
5217;59,32 
5925;209,26 
5926;109,53 
5927;52,21 
6720;462,11 
6721;401,88 
6722;390,58 
6723;323,29 
6724;267,29 
6725;188,70 
6726;154,82 
6727;105,65 
6728;157,17 
6729;100,47 
6730;405,64 
6731;263,52 
6790;497,40 
6791;430,58 
6792;419,29 
6793;359,05 
6794;294,58 
6795;203,29 
6796;179,76 
6797;127,53 
6798;150,59 
6799;95,29 
6800;375,52 
6801;292,70 
5750;571,35 
5751;429,00 
5752;317,85 
5756;286,65 
5622;35,80 
5623;19,90 
5624;35,80 
5625;20,30 
5626;22,80 
5627;19,00 
5628;22,80 
5629;19,00 
6015;20,40 
6016;21,00 
6044;27,90 
6045;27,90 
6220;49,24 
6221;45,26 
6222;53,55 
7021;23,60 
7022;23,60 
7023;23,60 
7024;25,80 
7025;25,80 
7026;25,80 
7027;23,60 
7028;23,60 
7029;23,60 
7030;25,80 
7031;25,80 
7032;25,80 
6491;107,60 
6905;107,60 
6906;116,20 
6907;116,20 
6405;7,90 
6406;7,90 
1388;71,40 
1391;89,60 
1394;107,90 
1397;71,40 
1398;89,60 
1399;107,60 
7055;85,80 
7056;85,80 
5170;7,50 
5171;8,40 
5232;115,00 
5233;83,00 
5234;87,90 
5235;42,42 
5236;37,10 
5237;14,20 
5238;14,20 
5239;14,70 
5240;14,70 
7011;20,20 
7012;20,20 
7013;20,20 
7014;20,20 
7015;25,80 
7016;25,80 
7017;25,80 
7018;25,80 
C0001;7,44 
C0002;7,44 
C0003;7,44 
C0004;7,44 
C0005;7,44 
C0006;7,44 
C0007;7,44 
C0008;7,44 
6046;35,90 
6047;35,90 
6048;35,90 
6049;35,90 
6050;45,00 
6051;45,00 
5710;99,90 
5711;59,24 
5712;37,20 
5713;36,76 
R09110;3,94 
R09111;3,94 
R09114;2,76 
R09115;2,72 
R09116;2,82 
R09117;4,28 
R09118;4,28 
R09200;4,40 
R09201;4,40 
R09208;3,10 
R09221;4,28 
R00141;14,88 
R09120;3,94 
R09122;10,80 
R09123;10,80 
R09131;3,20 
R09132;2,76 
R09133;3,96 
R09134;3,96 
R09135;4,28 
R09136;4,28 
R09137;6,64 
R09138;6,64 
R09139;4,70 
R09140;4,70 
R09142;3,94 
R09143;3,94 
R09174;5,20 
R09178;5,20 
R09204;11,04 
R09205;12,24 
R09206;11,44 
R09211;3,20 
R09212;9,76 
R09213;9,76 
R09215;3,96 
R09222;3,94 
R09223;4,28 
R09228;4,10 
R09229;5,30 
R09230;6,30 
R09232;7,96 
R09233;6,08 
R09234;4,90 
R09235;4,90 
R09237;3,96 
R09238;3,96 
R09239;3,96 
R09240;3,96 
R09209;2,72 
R09210;2,72 
R09182;3,70 
R09183;3,70 
R09184;2,96 
R09185;2,96 
R09202;4,10 
R09203;4,10 
R09226;3,10 
R09227;3,10 
R09156;9,32 
R09157;9,32 
R09158;8,76 
R09159;8,76 
R09194;3,10 
R09195;3,10 
R09196;3,58 
R09197;3,58 
R09207;6,14 
R09214;3,58 
R09218;6,10 
R09219;4,10 
R09220;4,10 
R09224;6,70 
R09225;6,70 
6535;41,30 
6536;42,50 
6537;42,50 
C0101;42,00 
C0102;61,40 
C0103;49,10 
C0104;68,40 
C0105;54,20 
C0106;73,60 
C0111;42,00 
C0112;61,30 
C0113;49,00 
C0114;68,40 
C0115;54,20 
C0116;73,60 
C0117;83,00 
C0118;83,00 
C0119;42,00 
C0120;61,30 
C0124;83,00 
C0125;127,80 
C0126;127,80 
5717;46,50 
5718;46,50 
5719;79,40 
5720;79,40 
7155;103,50 
7156;80,90 
7157;52,42 
6900;7,64 
6901;7,64 
6902;8,46 
6903;8,46 
5870;265,20 
5981;222,30 
5982;265,20 
5983;128,70 
5984;136,50 
5987;364,65 
5735;58,50 
5790;136,50 
5792;148,20 
5714;63,90 
5715;63,90 
C0041;13,10 
C0042;13,10 
C0043;36,40 
C0044;36,40 
C0047;23,00 
C0048;23,00 
C0049;53,80 
C0050;53,80 
6091;75,40 
6092;78,80 
6093;84,70 
