Family|Reference|Descripition|UnitWeight| UnitLength|UnitHigh|UnitWidth|Dimiter| ExportHigh|ExportWidth|ExportLenght|ExportWeight|ExportVolume|IndividualBoxHigh|IndividualBoxWiidth|IndividualBoxLengh| IndividualBoxVolume|IndividualBoxWeight|IP|ElectricClass|BulbIncluded|BulbDescription|Driver/ballst/transformer_Included |Driver/Transformer/Ballast_Description|Material|Quantity|PVP|Barcode|CustumDutyCode
0         |01014               |NIKO APLIQUE IZQUIERDO 6W 3000K INDUCCION                                                           |,7000|300,000000|220,000000|145,000000|,000000|,000000|,000000|,000000|,000000|,000000|45,000000|75,000000|265,000000|,000894|,700000|20                       |II  |1|SMD LED 7W 3000K 500Lm                                                                              |1||ALUMINIO + CRISTAL OPAL                                                                             |Available|225,000000|8421776142053                 |9405109890          
0         |01015               |TAKE AWAY PORTATIL RECARGABLE BLANCA LED 3W 3000K                                                   |,3200|118,000000|200,000000|,000000|,000000|480,000000|320,000000|730,000000|11,000000|,112829|215,000000|153,000000|153,000000|,005033|,500000|20                       |III |1|730                                                                                                 |1|USB DC5V 2A DRIVER IN                                                                               |CUERPO DE PC  BASE MADERA (Hevea brasiliensis).                                                     |Available|130,000000|8421776146495                 |9405102190          
0         |01016               |TAKE AWAY PORTATIL RECARGABLE NEGRA LED 3W 3000K                                                    |,3200|118,000000|200,000000|,000000|,000000|480,000000|320,000000|730,000000|11,000000|,112829|215,000000|153,000000|153,000000|,005033|,500000|20                       |III |1|LED 3W 3000K 1W -15H / 2W-10H / 3W 5H RECARGA 3/4 HORAS                                             |1|USB DC5V 2A DRIVER IN                                                                               |CUERPO DE PC BASE DE MADERA (Hevea brasiliensis)                                                    |Available|130,000000|8421776146501                 |9405102190          
0         |01017               |TAKE AWAY ACCESORIO APLIQUE                                                                         |,0300|,000000|2,000000|,000000|4,000000|40,000000|52,000000|52,000000|8,449000|,000000|40,000000|52,000000|52,000000|,000100|,017000||III |0||0||CUERPO DE MADERA                                                                                    |Available|15,000000|8421776146518                 |4421999999          
0         |01025               |NIKO PC BASE SOBREMESA DERECHA LED 7W 3000K INDUC                                                   |1,6000|300,000000|220,000000|145,000000|,000000|,000000|,000000|,000000|,000000|,000000|165,000000|165,000000|320,000000|,008712|,000000|20                       |II  |1|LED 7W 3000K 530Lm                                                                                  |1||CUERPO DE METAL DIFUSOR PMMA OPAL                                                                   |Available|180,000000|8421776168008                 |9405109890          
0         |01026               |NIKO PC APLIQUE IZQUIERDO                                                                           |,7000|300,000000|220,000000|145,000000|,000000|,000000|,000000|,000000|,000000|,000000|165,000000|165,000000|320,000000|,008712|,000000|20                       |II  |1|SMD LED 7W 3000K 500Lm                                                                              |1||CUERPO DE METAL DIFUSOR CRISTAL OPAL                                                                |Available|225,000000|8421776168015                 |9405109890          
0         |01027               |NIKO PC APLIQUE DERECHO                                                                             |,7000|300,000000|220,000000|145,000000|,000000|,000000|,000000|,000000|,000000|,000000|165,000000|165,000000|320,000000|,008712|,000000|20                       |II  |1|LED 7W 3000K 500Lm                                                                                  |1||CUERPO DE METAL DIFUSOR CRISTAL OPAL                                                                |Available|225,000000|8421776168022                 |9405109890          
0         |01040               |BOARD APLIQUE PIZARRA LED 7W 2700K                                                                  |2,4200|350,000000|,000000|,000000|350,000000|400,000000|40,000000|405,000000|13,000000|,040000|400,000000|40,000000|405,000000|,007200|2,600000|20                       |I   |1|LED 7W 2700K 1280 lms                                                                               |1||CUERPO DE METAL Y DIFUSOR DE PMMA                                                                   |Available|119,000000|8421776169296                 |9405109890          
0         |01046               |GUEST PIE DE SALON NEGRO 1xE27                                                                      |,0000|560,000000|1060,000000|400,000000|,000000|100,000000|450,000000|1100,000000|,000000|,049500|100,000000|450,000000|1100,000000|,049500|,000000|||0|1xE27                                                                                               |0||CUERPO DE ALUMINIO                                                                                  |Available|296,800000|8421776183223                 |9405109890          
0         |01000               |HAN PERCHERO BLANCO LED 6W 2700K                                                                    |2,8000|1010,000000|66,000000|250,000000|,000000|1000,000000|303,000000|585,000000|16,800000|,177255|985,000000|100,000000|280,000000|,027580|2,800000|20                       |I   |1|LED 6W 2700K 500 Lm                                                                                 |1|DRIVER IN 500mA                                                                                     |CUERPO DE METAL DIFUSOR PMMA OPAL                                                                   |Available|165,000000|8421776116405                 |9405109890          
