CODE;DESCRIPTION;EAN;STOCK;ETA;ESTIMATED STOCK;ERROR;
0110;PLAFON 6W BL RED 390LU 2700K DASK;8435447801101;0;;;No info / No hay informacion de fecha ni cantidad estimada;
0112;-PLAFON 6W NK RED 430LU 2700K DASK;8435447801125;0;;;No info / No hay informacion de fecha ni cantidad estimada;
0120;-PLAFON 18W NK RED 1310LU 2700K DASK;8435447801200;0;;;No info / No hay informacion de fecha ni cantidad estimada;
0124;PLAFON 6W NK CUA 430LU 2700K DASK;8435447801248;0;;;No info / No hay informacion de fecha ni cantidad estimada;
0128;-PLAFON 12W NK CUA 870LU 2700K DASK;8435447801286;0;;;No info / No hay informacion de fecha ni cantidad estimada;
0132;-PLAFON 18W NK CUA 1310LU 2700K DASK;8435447801323;0;;;No info / No hay informacion de fecha ni cantidad estimada;
0136;PANEL EMP 12W BL RED 780LU 2700K DASK;8435447801361;0;;;No info / No hay informacion de fecha ni cantidad estimada;
0141;PANEL EMP 18W NK RED 1550LU 4000K DASK;8435447801415;0;;;No info / No hay informacion de fecha ni cantidad estimada;
0142;-PANEL EMP 18W BL CUA 1450LU 2700K DASK;8435447801422;50;;;;
072047;VT 147 DC 18W 3CCT BL+ABS RAHUb IOT;8426107016966;37;;;;
072048;VT 147 DC 18W 3CCT MARRON+ABS  RAHUm IOT;8426107016959;0;;;No info / No hay informacion de fecha ni cantidad estimada;
072049;VT 137 DC 18W 3CCT NICKEL+ABS NERHEA IOT;8426107016942;0;;;No info / No hay informacion de fecha ni cantidad estimada;
072050;VT 132 DC BLANCO 18W 3CCT BERNATb IOT;8426107016928;100;;;;
072051;VT 132 DC AZUL 18W 3CCT BERNATa IOT;8426107016935;70;;;;
072132;VT 122 AC 2L ACCUERO+PLY CORMORAN;8426107010650;80;;;;
072133;VT 97 DC 24W 3CCT CV ABS MR RODAN S;8426107016737;11;;;;
072134;VT 97 DC 24W 3CCT BL ABS BL CRIXUS S;8426107016744;150;;;;
072135;VT 117 DC 24W 3CCT BL ABS BL CRIXUS M;8426107016768;0;150;2020-03-30 (yyyy-mm-dd);;
072137;VT142 DC 24W 3CCT BL ABS BL CRIXUS L IOT;8426107016881;0;150;2020-03-30 (yyyy-mm-dd);;
072138;VT 142 DC 24W 3CCT CV ABS MR RODAN L IOT;8426107016904;0;150;2020-03-30 (yyyy-mm-dd);;
072139;VT 127 DC 18W 3CCT BL ABS BL CADILAC;8426107016799;100;;;;
072140;VT 127 DC 18W 3CCT MD ABS MD CADILAC;8426107016805;150;;;;
072141;VT 137 DC 20W 3CCT BL ABS BL MOON;8426107016812;150;;;;
072142;VT 132 DC 20W 3CCT BL MD BL IPANEMA;8426107016829;0;;;No info / No hay informacion de fecha ni cantidad estimada;
072143;VT 132 DC 20W 3CCT NK MD MD IPANEMA;8426107016836;0;;;No info / No hay informacion de fecha ni cantidad estimada;
072144;VT 122 AC 2E27 BL PLY BL/PL MARA;8426107017024;0;150;;No info / No hay informacion de fecha ni cantidad estimada;
072145;VT 122 AC 2E27 BL PLY BL/G MARA;8426107017017;0;150;;No info / No hay informacion de fecha ni cantidad estimada;
072146;VT 122 AC 18W 3CCT BL PLY BL/PL MARA;8426107017000;0;150;;No info / No hay informacion de fecha ni cantidad estimada;
072150;VT 107 AC 36W BLANCO CCT BOMBAY IOT;8426107016997;6;;;;
072199;VT 142 AC 18W 4000K BLANCO ABS TRIUMPH;8426107009562;150;;;;
072200;VT132 AC 2E27 NIQUEL ABS BL ASPENb;8426107009579;150;;;;
072205;VT 132 AC 2L NEGRO ASPENn;8426107009586;38;;;;
072208;VT127 AC 18W 3000K ABS TRANS MUSTANGt;8426107007063;52;;;;
072209;VT127 AC 18W 3000K ABS MARRON MUSTANGm;8426107007056;150;;;;
072210;VT127 AC 18W 3000K ABS BLANCO MUSTANGb;8426107007131;150;;;;
072212;-VT 132 AC LED CROMO + TRANS SPRING;8426107152121;0;;;No info / No hay informacion de fecha ni cantidad estimada;
072216;VT 178 DC NK MADERA TAUNUS;8426107541253;100;;;;
072217;VT 142 LED DC NIQUEL + ABS OAK  SONET;8426107754875;100;;;;
072223;VT 132 18W LED NK 3000K DC MD MALIBU;8426107009821;0;;;No info / No hay informacion de fecha ni cantidad estimada;
072224;VT 132 18W LED BL 3000K DC MD MALIBU;8426107009838;150;;;;
072225;-VT 142 DC 18W 3000K GRIS+PLY MD IMPALA;8426107010674;65;;;;
072226;-VT 142 DC 18W 3000K BLANCO+PLY IMPALA;8426107011787;15;;;;
072229;-VT 135 DC 18W NK 4000K DROP;8426107794581;0;;;No info / No hay informacion de fecha ni cantidad estimada;
