idoxatis;sku;nombre;stock;pvpventa;proveedor;ean;pvprecomendado;visible
18519565;68503;Lámpara pie Moma Faro - Pant Blanca o negra;25;18120;FARO;8421776010635;299,5;1
18519617;68531;Lámpara pie de salón pantalla serie Thana. FARO.;25;7930;FARO;8421776010932;131;1
18519655;68463;Pie de salón extensible derie Papua negro. FARO;25;13170;FARO;8421776010390;217,6;1
18521038;68462;Pie de salón extensible derie Papua blanco. FARO;24;13170;FARO;8421776010383;217,6;1
18524785;68501;Sobremesa pantalla blanco o negro Moma. Faro;25;6220;FARO;8421776010611;102,8;1
18525871;68530;Lámpara de sobremesa pantalla serie Thana. FARO;25;3620;FARO;8421776010925;59,7;1
18528588;68533;Lampara Thana Faro - niquel 3 pantallas;25;9310;FARO;8421776010949;153,8;1
19270633;71352;Baliza de exterior gris. LED. Serie Gina. FARO.;25;5570;FARO;8421776083400;92;1
19270869;74407;Aplique de exterior 1 luz. Serie Klamp. FARO.;25;2860;FARO;8421776010963;47,2;1
19270874;74408;Aplique de exterior 2 Luces. Serie Klamp. FARO.;25;3650;FARO;8421776010994;60,3;1
19273157;75521;Baliza Sete Faro - Iluminacion de exterior LED - 75521;25;10160;FARO;8421776065376;167,8;1
19276928;70761;Baliza Onze Faro - Iluminacion de exterior altura 65cm.;25;7420;FARO;8421776034341;122,6;1
19276942;72310;Sobremuro Surat Faro - Iluminacion de exterior - Altura 23cm;23;4030;FARO;8421776005143;66,5;1
19277023;74441;Baliza Datna Faro - iluminacion exterior suelo 30cm.;25;6260;FARO;8421776040786;103,4;0
19309567;74444;Farola de exterior gris 250 cm. LED. Serie Datna. FARO.;0;42570;FARO;8421776081635;703,6;1
19309630;75524;Farola de exterior gris 180 cm. LED. Serie Beret. FARO.;25;13670;FARO;8421776065758;225,8;1
19311492;75501;Aplique de exterior 2 L. Blanco o gris. Serie Steps. FARO.;0;2960;FARO;8421776040571;48,9;1
19313252;75502;Aplique de exterior 4 L. Blanco o gris. Serie Steps. FARO.;25;4920;FARO;8421776040601;81,2;1
