Reference;Configuration;Price;Discount;Minimum Price ES;Minimum Price EN;Level 1;Level 2;Collection;Item name;Description;Configuration name;English name;English description;French name;French description;Italian name;Italian description;Portuguese name;Portuguese Description;Image name;assembly instructions;Stock;Date;EAN;Width;Height;depth;Dimension;Minimun Height;maximum height;Price in dollars;;Weight;Volume packaging ;"Sizes of carton No.1; width";"Sizes of carton No.1; height";"Sizes of carton No.1; depth";Packaging weight 1:;"Sizes of carton No.2; width";"Sizes of carton No.2; height";"Sizes of carton No.2; depth";Packaging weight 2:;"Sizes of carton No.3; width";"Sizes of carton No.3; height";"Sizes of carton No.4; depth";Packaging weight 3:;"Sizes of carton No.4; width";"Sizes of carton No.4; height";"Sizes of carton No.4; depth";Packaging weight 4:;Energy class:;IP;Electric class:;Power:;Voltage:;Frecuency:;Lumen:;Dimmable:;regulation;OUTPUT POWER;POWER INTENSITY;Colour temperature:;Average lifespan:;Power factor:;CRI;Lampholder bulb1;Quantity of light bulb1;bulbs included;Power bulb1;Voltage Bulb1;Frecuency Bulb1;Lumen bulb1;Colour temperature Bulb1;Averge lifespan bulb1;Power factor bulb1;CRI bulb1;Lampholder bulb2;Quantity of light bulb2;Power bulb2;Voltage Bulb2;Frecuency Bulb2;Lumen bulb2;Colour temperature Bulb2;Averge lifespan bulb2;Power factor bulb2;CRI bulb2;Material;Finish;Assembling time by customer:;"Sizes of the Shade/glass shade; width";"Sizes of the Shade/glass shade; height";"Sizes of the Shade/glass shade; depth";"Sizes of the Shade/glass shade; diameter";"Sizes of the canopy; width";"Sizes of the canopy; height";"Sizes of the canopy; depth";"Sizes of the canopy; depth";Cable colour;Size of the mirror plate,width:;Size of the mirror plate,high:;Width of the frame;Top thickness;Extendable table?;seat height:;seat width:;seat depth;back width:;back height;Material:;removable cover;adjustable;Only UK plug
112512;;126;0;202;221;4;1;Mercury;ESPEJO ·MERCURY·;Espejo formado por lunas enmarcadas por espejos biselados. Trasera de DM color negro.;;·MERCURY· MIRROR;Mirror formed by framed mirrors by bevelled mirrors. Black MDF back.;MIROIR ·MERCURY·;Miroir formé par des glaces encadrées par des glaces biseautées. Fond en MDF de couleur noire.;SPECCHIO ·MERCURY·;Composizione di specchi circolari a cornice bisellata. Rovescio in fibra nero.;ESPELHO ·MERCURY·;Espelho formado por luas emolduradas por espelhos biselados. Traseira de DM cor preta.;112512.jpg;;24;20/06/2020;8,44E+12;44;118;3;0;0;0;74;0;6;0,065;128;51;10;8;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0;0;0;0;0;0;;0;;;;;0;0;0;0;0;;0;;;;0;0;0;0;0;Cristal, DM;Espejo plata , lacado negro;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;0;0;0;0;;;;No
112638;;78;0;125;137;1;4;Sion;SOBREMESA ·SION· 1L;Lámpara de sobremesa realizada con espejos y semiesferas de cristal, sobre base de DM lacada en negro. Pantalla textil blanca nacar.;;·SION· TABLE LAMP, 1L.;Table lamp made with mirrors and glass semispheres, on MDF base lacquered in black. Textile shade, nacre white.;LAMPE DE TABLE ·SION· 1L;Lampe de lampe de table réalisée avec glaces et demi sphères en verre, sur base DM laqué en noir.;ABAT-JOUR ·SION· 1L;Abat-jour formato da specchi e semisfere di vetro collocati su sostegni in fibra laccata in nero.;SECRETÁRIA ·SION· 1L;Candeeiro de secretária realizado com espelhos e semiesferas de vidro, sobre base de DM lacada em preto.;1126387614.jpg;;27;;8,44E+12;0;67;0;35;0;0;0;0;2,77;0,043;25;60;21;2;45;40;38;0;0;0;0;0;0;0;0;0;A+;;Class 2;60W;110/220 V;50/60 Hz;900;;;0;0;0;0;0;0;E27;1;;10W;110/220 V;50/60 Hz;900;3.000;30.000;1;80;;0;;;;0;0;0;0;0;Cristal, DM.;Espejo, lacado negro.;0;0;25;0;35;0;0;0;0;;0;0;0;0;;0;0;0;0;0;;;;No
118624;;297;0;475;520;4;1;Dunia;ESPEJO ·DUNIA· RECTANGULAR;Espejo rectangular con luna central biselada. Marco calado con cenefa de lunas biseladas. Trasera de DM acabado en color negro. Preparado para colgar en posición horizontal o vertical.;;·DUNIA· RECTANGULAR MIRROR;Rectangular mirror with bevelled central mirror plate. Fretwork frame with border made with bevelled mirrors. Back of MDF finished in black colour. Ready to hang in horizontal or vertical position.;MIROIR .DUNIA. RECTANGULAIRE;Miroir rectangulaire avec glace central biseautée. Cadre ajouré avec frange de glaces biseautées. Fond en Agglo finition en couleur noire. Préparé pour suspendre en position horizontale ou verticale.;SPECCHIO ·DUNIA· RETTANGOLARE;Specchio rettangolare a superficie centrale bisellata. Cornice traforata formata da fregi a specchio bisellati. Parte posteriore in fibra color nero. Collocabile in posizione orizzontale o verticale.;ESPELHO ·DUNIA· RETANGULAR;Espelho retangular com lua central biselada. Moldura entalhada com faixa de luas biseladas. Traseira de DM acabamento em cor preta. Preparado para pendurar em posição horizontal ou vertical.;118624.jpg;;19;;8,44E+12;110;120;2;0;0;0;0;0;20,5;0,219;125;135;13;24;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0;0;0;0;0;0;;0;;;;;0;0;0;0;0;;0;;;;0;0;0;0;0;Cristal, DM;Espejo plata , lacado negro;0;0;0;0;0;0;0;0;0;;63;80;24;0;;0;0;0;0;0;;;;No
119015;;42;0;67;74;4;2;Aries;ESPEJO ·ARIES· REDONDO 44Ø ORO;Espejo redondo con base de 4 cm de DM acabado en pan de oro. luna biselada.;;·ARIES· ROUND MIRROR Ø44, GOLD;Round mirror with base of 4 cm of MDF, finished in gold leaf, bevelled mirror.;MIROIR ·ARIES· ROND 44Ø OR;Miroir rond avec base de 4 cm en DM finition feuille d’or. Glace biseautée.;SPECCHIO ·ARIES· ROT.  44Ø ORO;Specchio rotondo con base in fibra da 4 cm. e rifiniture in lamina d’oro. Superficie specchio bisellata.;ESPELHO ·ARIES· REDONDO 44Ø D.;Espelho redondo com base de 4 cm de DM com acabamento em folha de ouro. Lua biselada.;119015.jpg;;76;20/06/2020;8,44E+12;0;0;4;44;0;0;0;0;2,9;0,032;52;52;12;4;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0;0;0;0;0;0;;0;;;;;0;0;0;0;0;;0;;;;0;0;0;0;0;Espejo,DM;Pan de oro;0;0;0;0;0;0;0;0;0;;40;40;4;0;;0;0;0;0;0;;;;No
119122;;57;0;91;100;4;2;Aries;ESPEJO ·ARIES· REDONDO 54Ø ORO;Espejo redondo con base de 4 cm de DM acabado en pan de oro.  luna biselada.;;·ARIES· ROUND MIRROR Ø54, GOLDEN;Round mirror with base of 4 cm of MDF finished in gold leaf, bevelled mirror.;MIROIR ·ARIES· ROND 54Ø OR;Miroir rond avec base de 4 cm en DM finition feuille d’or. Glace biseautée.;SPECCHIO ·ARIES· ROT. 54Ø ORO;Specchio rotondo con base in fibra da 4 cm. e rifiniture in lamina d’oro. Superficie specchio bisellata.;ESPELHO ·ARIES· REDONDO 54Ø D.;Espelho redondo com base de 4 cm de DM com acabamento em folha de ouro.  Lua biselada.;119122.jpg;;79;20/06/2020;8,44E+12;0;0;4;54;0;0;0;0;4,49;0,051;65;65;12;6;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0;0;0;0;0;0;;0;;;;;0;0;0;0;0;;0;;;;0;0;0;0;0;Espejo, DM;Pan de oro;0;0;0;0;0;0;0;0;0;;50;50;4;0;;0;0;0;0;0;;;;No
119238;;66;0;106;116;4;2;Aries;ESPEJO ·ARIES· OVAL 54X64 ORO;Espejo ovalado con base de 4 cm de DM acabado en pan de oro. Luna biselada.;;·ARIES· OVAL MIRROR,54x64,GOLDEN;Oval mirror with base of 4 cm of MDF finished in gold leaf, bevelled mirror.;MIROIR ·ARIES· OVAL 54X64 OR;Miroir ovale avec base de 4 cm en DM finition feuille d’or. Glace biseautée.;SPECC. ·ARIES· OVALE 54X64 ORO;Specchio ovale con base in fibra da 4 cm. e rifiniture in lamina d’oro. Superficie specchio bisellata.;ESPELHO ·ARIES· OVAL 54X64 D.;Espelho ovalado com base de 4 cm de DM com acabamento em folha de ouro. Lua biselada.;119238.jpg;;32;29/02/2020;8,44E+12;54;64;4;0;0;0;0;0;5,7;0,055;73;63;12;7;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0;0;0;0;0;0;;0;;;;;0;0;0;0;0;;0;;;;0;0;0;0;0;Espejo,DM;Pan de oro;0;0;0;0;0;0;0;0;0;;50;60;4;0;;0;0;0;0;0;;;;No
119344;;54;0;86;95;4;2;Aries;ESPEJO ·ARIES· CUAD. 53X53 ORO;Espejo cuadrado con marco de DM acabado en PAN DE ORO. Luna biselada.;;·ARIES· SQUARE MIRROR, 53x53, GOLDEN;Square mirror with MDF frame finished in GOLD LEAF. Bevelled mirror.;MIROIR ·ARIES· CAR. 53X53 OR;Miroir carré avec cadre en DM finition feuille d’or. Glace biseautée.;SPECC. ·ARIES· QUAD. 53X53 ORO;Specchio quadrato a cornice in fibra rifinita in LAMINA D’ORO. Superficie specchio bisellata.;ESPELHO ·ARIES· QUAD. 53X53 D.;Espelho quadrado com moldura de DM com acabamento em FOLHA DE OURO. Lua biselada.;119344.jpg;;21;20/06/2020;8,44E+12;53;53;4;0;0;0;0;0;3,98;0,048;63;63;12;5;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0;0;0;0;0;0;;0;;;;;0;0;0;0;0;;0;;;;0;0;0;0;0;Espejo, DM;Pan de oro;0;0;0;0;0;0;0;0;0;;50;50;3;0;;0;0;0;0;0;;;;No
119481;;78;0;125;137;4;2;Aries;ESPEJO ·ARIES· OVAL136X36 ORO;Espejo ovalado con marco de DM acabado en pan de oro. Luna biselada.;;·ARIES· OVAL MIRROR,136x36 GOLD;Oval mirror with MDF frame finished in gold leaf. Bevelled mirror.;MIROIR ·ARIES· OVAL136X36 OR;Miroir ovale avec cadre en DM finition feuille d’or. Glace biseautée.;SPECC.·ARIES· OVALE 136X36 ORO;Specchio ovale a cornice in fibra rifinita in lamina d’oro. Superficie specchio bisellata.;ESPELHO ·ARIES· OVAL136X36 D.;Espelho ovalado com moldura de DM com acabamento em folha de ouro. Lua biselada.;119481.jpg;;0;08/05/2020;8,44E+12;36;136;4;0;0;0;0;0;8,2;0,078;45;145;12;10;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0;0;0;0;0;0;;0;;;;;0;0;0;0;0;;0;;;;0;0;0;0;0;Espejo, DM;Pan de oro;0;0;0;0;0;0;0;0;0;;33;133;3;0;;0;0;0;0;0;;;;No
1212;;5;80;2;2;1;9;Tulipas;1/2 BOLA CR.DEC.ALAB.;Diametro de la boca 13,3 cm.;; GLASS SHADE WITH ALABASTER DECORATION;;;;;;;;1212.jpg;;51;;8,44E+12;14;8,5;14;0;0;0;0;0;0;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0;0;0;0;0;0;;0;;;;;0;0;0;0;0;;0;;;;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;0;0;0;0;;;;No
1218;;23;100;0;0;1;9;Tulipas;TULIPA AMARILLA;Tulipa realizada de pasta de vidrio soplado. Boca de la tulipa Ø14;;YELLOW GLASS SHADE;Blown glass shade. Mouth of the glass shade Ø14;TULIPE JAUNE;Ouverture de la tulipe Ø14;PARALUME GIALLO;Diametro del paralume Ø14;;;1218.jpg;;21;;8,44E+12;17;22;17;17;0;0;0;0;1,11;0,007;18;23;18;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0;0;0;0;0;0;;0;;;;;0;0;0;0;0;;0;;;;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;0;0;0;0;;;;No
