idoxatis;sku;nombre;stock;pvpventa;pvprecomendado;ean;visible;proveedor
18519400;E-613144;Lámpara Etna Schuller - Lampara 6 luces pantallas;1;274,00;359;;1;SCHULLER
18520570;174213;Plafon Andromeda Schuller - Pantalla abalorios - LED;18;187,00;;8,43544E+12;1;SCHULLER
18520573;174631;Aplique Andromeda Schuller - Bolas cromo - LED;46;110,00;;8,43544E+12;1;SCHULLER
18521192;E-147538;Sobremesa Elsa Schuller - Pan de plata pantalla;0;158,00;;;0;SCHULLER
18522497;E-357586;Sobremesa perro ver Puppy - Schuller;20;30,00;45;;1;SCHULLER
18522585;E-357591;Sobremesa perro azul Puppy - Schuller;4;35,00;;;1;SCHULLER
18522635;840842/2061;Mesa centro Time Schuller - cristal pata ondas;13;797,00;;;1;SCHULLER
18522826;E-471619;Aplique Mol schuller - 6 luces LED;1;111,00;134;;1;SCHULLER
18523091;821629;Mesa Calima Schuller - Mueble auxiliar acero 60 cm;12;422,00;;8,43544E+12;1;SCHULLER
18523138;821437;Consola Calima Schuller - Acero inoxidable;48;893,00;;8,43544E+12;1;SCHULLER
18523139;E-256023;Mecedora Ibiza Schuller - Mecedora exterior negra;1;139,05;204,49;;1;SCHULLER
18523827;174414;Sobremesa Andromeda Schuller - cromo pantalla - LED;29;115,00;;8,43544E+12;1;SCHULLER
18523953;174112;Lampara Andromeda Schuller - Colgante Ø60cm - LED;5;466,00;;8,43544E+12;1;SCHULLER
18524808;174011;Lampara Andromeda Schuller - Colgante Ø45cm - LED;32;264,00;;8,43544E+12;1;SCHULLER
18524906;586423bl;Sobremesa Blanco Cargador Movil con altavoz - Schuller;0;79,96;135,52;;1;SCHULLER
18524908;586423ng;Sobremesa Negro Cargador Movil con altavoz - Schuller;0;79,96;135,52;;1;SCHULLER
18524979;664443/7376;Sobremesa Terra Schuller - Pan de oro pantalla - LED;1;173,00;;8,43544E+12;1;SCHULLER
18526139;661530p-ca;SOBREMESA SERIE DECO. Oro/Plata/Marron ;0;115,00;;;0;SCHULLER
18526141;661530p-p;SOBREMESA SERIE DECO. Oro/Plata/Marron ;0;120,00;;;0;SCHULLER
18526142;661530o-c;SOBREMESA SERIE DECO. Oro/Plata/Marron ;0;130,00;;;0;SCHULLER
18526143;661530m-p;SOBREMESA SERIE DECO. Oro/Plata/Marron ;0;144,00;;;0;SCHULLER
18526146;661530c-c;SOBREMESA SERIE DECO. Oro/Plata/Marron ;0;144,00;;;0;SCHULLER
18528082;664228;Lampara Deco Schuller - Pan de plata pantalla - LED;1;187,00;;;1;SCHULLER
18528358;E-463613;Lampara Luppo Schuller - Lineal abalorios cristal - LED;1;229,00;425;;1;SCHULLER
18593248;508030;Plafon Argos Schuller - Plafon Ø50cm espejo Argos;68;432,00;475;8,43544E+12;1;SCHULLER
18593252;508718;Colgante Argos Schuller - Lampara de Ø40cm LED;185;278,00;317;8,43544E+12;1;SCHULLER
18593253;508111;Colgante Argos Schuller - Lampara de Ø50cm LED;206;446,00;;8,43544E+12;1;SCHULLER
18593258;509010;Colgante Argos Schuller - Colgante de Ø22cm LED;156;106,00;125;8,43544E+12;1;SCHULLER
18593261;508222;Sobremesa Argos Schuller - Tulipa espejo grande - LED;59;317,00;;8,43544E+12;1;SCHULLER
18593279;508516;Sobremesa Argos Schuller - Tulipa espejo pequeño - LED;65;187,00;211;8,43544E+12;1;SCHULLER
18593293;509213;Lampara Argos Schuller - Lampara linea 3 tulipas - LED;5;307,00;374;8,43544E+12;1;SCHULLER
18593317;509327;Aplique Argos Schuller -Tulipa Espejo;116;134,00;;8,43544E+12;1;SCHULLER
