ITEMID;CONFIGID;Stock;FECHAPROX;;;
112512;;12;24/1/20;;;
112638;;34;;;;
118624;;21;;;;
119015;;92;9/5/20;;;
119122;;102;9/5/20;;;
119238;;23;21/2/20;;;
119344;;29;9/5/20;;;
119481;;20;20/1/20;;;
1218;;21;;;;
124011;;16;20/1/20;;;
124346;;31;28/2/20;;;
124465;;7;20/1/20;;;
127011;;59;20/1/20;;;
127127;;71;9/5/20;;;
127233;;48;29/5/20;;;
127387;;53;20/1/20;;;
1280;;76;;;;
130963;;32;1/5/20;;;
1361;;21;;;;
1419;;16;;;;
14422;;1;;;;
14430;;1;;;;
14442;;1;;;;
1446R02;;25;9/5/20;;;
1447R02;;5;9/5/20;;;
1448R02;;21;9/5/20;;;
1465;;208;;;;
1472;;9;;;;
148193;;33;14/2/20;;;
148277;;5;20/1/20;;;
152461;;15;9/5/20;;;
152461D;;15;9/5/20;;;
160320;;71;20/1/20;;;
160451;;44;9/5/20;;;
160563;;62;1/5/20;;;
160674;;26;14/2/20;;;
160785;;9;20/1/20;;;
160974;;35;28/2/20;;;
161022;;14;24/1/20;;;
161461;;27;9/5/20;;;
161461UK;;27;9/5/20;;;
163846;;19;20/3/20;;;
174011;;26;24/1/20;;;
174011R01;;2;9/5/20;;;
174112;;18;14/2/20;;;
174112D;;18;;;;
174112R01;;12;;;;
174213;;11;28/2/20;;;
174414;;30;20/1/20;;;
174414R01;;4;9/5/20;;;
174414R02;;6;9/5/20;;;
174414UK;;30;;;;
174631;;42;;;;
182504;;16;28/2/20;;;
183201;;72;20/3/20;;;
183320;;20;20/1/20;;;
183431;;15;17/1/20;;;
183542;;59;9/5/20;;;
183542R01;;28;9/5/20;;;
183542R02;;37;;;;
183542UK;;63;9/5/20;;;
183653;;33;24/1/20;;;
184136;;30;1/5/20;;;
193091;;144;17/4/20;;;
193182R01;;89;;;;
193273;;123;20/1/20;;;
193364;;56;9/5/20;;;
193364D;;56;9/5/20;;;
193453;;103;9/5/20;;;
193453D;;103;9/5/20;;;
193539;;9;20/1/20;;;
193539D;;9;16/1/20;;;
195381;;37;;;;
195627;;71;31/12/19;;;
198321;;51;9/5/20;;;
198533;;31;20/1/20;;;
205296;;41;6/3/20;;;
2059;;0;20/1/20;;;
2059P;;2;20/1/20;;;
2060;;4;24/1/20;;;
2060LD;;8;9/5/20;;;
2061;;12;9/5/20;;;
2061LD;;5;9/5/20;;;
2062;;3;;;;
2062LD;;2;;;;
2064;;6;;;;
2064D;;1;;;;
2064LD;;2;;;;
2067;;1;;;;
2069;;14;24/1/20;;;
2069D;;2;;;;
2069LT;;1;;;;
2070;;16;24/1/20;;;
2071;;24;28/2/20;;;
2071LD;;6;9/5/20;;;
2072;;37;9/5/20;;;
2073;;16;20/1/20;;;
2082;;36;24/1/20;;;
2082LD;;6;;;;
2083;;8;9/5/20;;;
2084;;3;28/2/20;;;
2112;;6;;;;
2113;;4;;;;
2113LT;;7;;;;
213111;;16;17/1/20;;;
213226;;19;28/2/20;;;
213301;;14;17/4/20;;;
213455;;24;9/5/20;;;
213547;;24;17/1/20;;;
213547UK;;24;;;;
213639;;25;;;;
213639D;;25;;;;
213790;;24;9/5/20;;;
213790D;;25;9/5/20;;;
213868;;47;9/5/20;;;
250516N;;6;31/1/20;;;
257685;;28;;;;
266028;;6;20/1/20;;;
266035N;;96;20/1/20;;;
266172;;22;7/2/20;;;
266172R01;;182;9/5/20;;;
266251N;;35;20/1/20;;;
266284;;31;20/1/20;;;
266284R01;;95;9/5/20;;;
266290;;65;9/5/20;;;
266426;;22;;;;
266544N;;13;7/2/20;;;
266544NUK;;16;;;;
266544UK;;0;;;;
266577;;15;20/1/20;;;
266577UK;;15;;;;
266580UK;;0;;;;
266616N;;4;20/1/20;;;
266616NUK;;4;20/1/20;;;
266695;;0;20/1/20;;;
266695UK;;0;20/1/20;;;
266724;;23;20/1/20;;;
266753;;1;20/1/20;;;
266782N;;76;21/2/20;;;
266822N;;22;20/1/20;;;
266847;;8;20/1/20;;;
266866;;22;20/1/20;;;
266946;;42;22/1/20;;;
266973N;;5;20/1/20;;;
268172;;0;24/1/20;;;
273954;;0;24/1/20;;;
275836;;3;20/3/20;;;
281096;;53;20/1/20;;;
281275;;82;9/5/20;;;
281275D;;84;9/5/20;;;
281360;;78;;;;
281360D;;79;;;;
281483;;109;4/5/20;;;
287506;;21;9/5/20;;;
287693;;9;20/3/20;;;
287753;;0;24/1/20;;;
287760;;26;24/1/20;;;
290152;;8;9/5/20;;;
295183;;11;28/2/20;;;
296243;;55;;;;
29-E07/150;;70;20/1/20;;;
29-E07/178;;56;20/1/20;;;
29-E07/90;;45;24/1/20;;;
29-E13;;37;24/1/20;;;
29-E16;;0;24/1/20;;;
29-E23;;54;9/5/20;;;
29-E35;;25;28/2/20;;;
29-E45;;3;;;;
29-E47;;4;;;;
301012;;8;;;;
302915;;6;;;;
305137;;17;9/5/20;;;
305284;;12;9/5/20;;;
305391;;29;9/5/20;;;
305429;;13;9/5/20;;;
305507;;4;9/5/20;;;
305714;;11;9/5/20;;;
305850;;3;9/5/20;;;
305963;;28;9/5/20;;;
3063;;11;;;;
3075;;207;;;;
316451;;46;24/1/20;;;
316451UK;;54;;;;
316704;;35;6/3/20;;;
316872;;21;20/1/20;;;
316918;;9;31/1/20;;;
321136R01;;22;;;;
321136R02;;19;;;;
324190;;30;9/5/20;;;
324281;;57;20/1/20;;;
324281UK;;58;;;;
324281UKR01;;15;9/5/20;;;
324563;;20;;;;
345381;;14;;;;
345462;;62;;;;
345509;;8;24/1/20;;;
345509D;;8;16/1/20;;;
346011;;35;6/3/20;;;
346028;;117;20/1/20;;;
346109;;0;7/2/20;;;
346115;;17;7/2/20;;;
346230UK;;2;;;;
346246;;34;9/5/20;;;
346357;;26;29/5/20;;;
346357UK;;26;;;;
346382;;83;;;;
346382UK;;84;;;;
346573;;92;9/5/20;;;
346596;;53;20/1/20;;;
346724;;0;28/2/20;;;
346766;;25;;;;
346810;;17;;;;
351822;;18;28/2/20;;;
357960LT;;13;;;;
362190;;0;;;;
371102;;11;3/4/20;;;
371235;;31;;;;
372095;;50;9/5/20;;;
372284;;108;9/5/20;;;
372361;;60;9/5/20;;;
372408;;82;9/5/20;;;
372510;;119;9/5/20;;;
373067;;0;17/1/20;;;
373075;;73;20/1/20;;;
373084;;2;17/1/20;;;
373091;;24;20/1/20;;;
373101;;98;;;;
373101D;;99;;;;
373123;;78;;;;
373123D;;78;;;;
373142;;0;24/1/20;;;
373142D;;0;;;;
373250;;59;;;;
373250D;;60;;;;
373261;;28;17/4/20;;;
373261D;;28;;;;
373342;;34;17/4/20;;;
373342D;;34;;;;
373378;;6;17/1/20;;;
373378D;;7;;;;
373416;;15;24/1/20;;;
373416D;;15;;;;
373437;;14;17/1/20;;;
373437D;;14;;;;
373579;;0;24/1/20;;;
373579UK;;0;;;;
373581;;37;;;;
373581UK;;;9/5/20;;;
373599;;226;;;;
373599UK;;226;;;;
373614;;73;;;;
373614UK;;78;;;;
373629;;39;20/1/20;;;
373629UK;;5;9/5/20;;;
373685;;0;17/1/20;;;
373685UK;;0;9/5/20;;;
374925;;3;;;;
375099;;43;;;;
375213;;16;;;;
375325;;7;;;;
375438;;6;;;;
375509;;72;20/1/20;;;
375618;;44;20/1/20;;;
376370;;89;;;;
376484;;28;;;;
377101;;13;20/1/20;;;
377485;;18;21/2/20;;;
377523;;24;21/2/20;;;
377934;;50;;;;
385314;;77;24/1/20;;;
385415;;22;24/1/20;;;
386113;;27;24/1/20;;;
386279;;20;9/5/20;;;
387218;;15;9/5/20;;;
391218;;54;20/1/20;;;
391329;;51;29/5/20;;;
391329UK;;54;;;;
391540;;55;9/5/20;;;
391653;;26;17/1/20;;;
391653R01;;88;;;;
391653R02;;27;9/5/20;;;
391870;;70;9/5/20;;;
392742;;14;;;;
392856;;35;28/2/20;;;
394318;;16;21/1/20;;;
394460;;9;22/1/20;;;
394460R01;;30;;;;
