"idoxatis";"sku";"nombre";"stock";"pvpventa";"pvprecomendado";"ean";"visible";"proveedor"
"18528397";"ESP-0664";"LAMPARA LLAMAS SINTESYS MANTRA 0664";"0";"277.70";;;"0";"MANTRA"
"18528400";"ESP-0664-SMP";"LAMPARA LLAMAS SINTESYS MANTRA 0664";"0";"243.21";;;"0";"MANTRA"
"18758462";"4980";"Lampara de techo LED. Oval serie Nur.   MANTRA";"187";"300.00";;;"1";"MANTRA"
"18761277";"4981";"Lampara de techo LED. Oval doble, serie Nur.   MANTRA";"248";"394.00";;;"1";"MANTRA"
"18761355";"4982";"Lampara de techo LED. 52 cm. Ø. serie Nur.   MANTRA";"73";"254.00";;;"1";"MANTRA"
"18761426";"4984";"Plafon de techo 57 cm. Ø. LED serie Nur.   MANTRA";"10";"282.00";;;"1";"MANTRA"
"18761436";"4985";"Aplique de pared LED serie Nur.     MANTRA";"97";"120.00";;;"1";"MANTRA"
"18761440";"4986";"Lámpara de Sobremesa LED. serie Nur.     MANTRA";"184";"122.00";;;"1";"MANTRA"
"18761568";"4860";"Lampara de techo LED. serie Sahara.     MANTRA";"45";"266.00";;;"1";"MANTRA"
"18761900";"4900";"Colgante de techo LED serie Oakley cromo. MANTRA";"69";"564.28";;;"1";"MANTRA"
"18761954";"4895";"Plafón de techo 3 Tamaños serie OPal.  MANTRA";"10";"246.00";;;"1";"MANTRA"
"18762196";"4930";"Lampara articulada 2 brazos P/blanca. Nordica.   MANTRA";"48";"124.82";;;"1";"MANTRA"
"18762199";"4931";"Lampara articulada 2 brazos P/negra. Nordica.   MANTRA";"96";"124.82";;;"1";"MANTRA"
"18762213";"4926";"Colgante de techo pantalla blanca. Nordica. MANTRA";"316";"57.14";;;"1";"MANTRA"
"18762217";"4929";"Colgante articulado Nordica negra.   MANTRA";"46";"93.23";;;"1";"MANTRA"
"18770144";"4927";"Colgante de techo pantalla negra. Nordica. MANTRA";"5";"57.14";;;"1";"MANTRA"
"18770150";"4924";"Aplique pared pantalla beige. Nordica. MANTRA";"30";"50.00";;;"1";"MANTRA"
"18770486";"4925";"Aplique pared pantalla negra. Nordica. MANTRA";"104";"50.00";;;"1";"MANTRA"
"18771444";"4922";"Lámpara sobremesa Flexo blanco. Nordica.    MANTRA";"42";"134.00";;;"1";"MANTRA"
"18771617";"4923";"Lámpara sobremesa Flexo P/negra. Nordica.    MANTRA";"55";"134.00";;;"1";"MANTRA"
"18772355";"4920";"Lampara de pie pantalla blanca. Nordica.    MANTRA";"60";"202.00";;;"1";"MANTRA"
"18773691";"4921";"Lampara de pie Nordica negra.   MANTRA";"5";"202.00";;;"1";"MANTRA"
"18777585";"4928";"Colgante articulado pantalla blanca. Nordica.   MANTRA";"227";"93.24";;;"1";"MANTRA"
