"OxatisId";"ItemSKU";"Name";"TaxRate";"Price1VATExcluded";"Category1Name";"Category2Name";"Category3Name";"Category4Name";"Category5Name";"Category6Name";"Category7Name";"Category8Name";"Category9Name";"Category10Name";"BrandName";"Weight";"MetaTitle";"MetaDescription";"MetaKeywords";"EANCode";"ProductLanguage";"CanonicalURLCustomizedContent"
"18521048";"33929";"Kit mando a distancia y receptor ventiladores FARO";"21,00";"37,19";"Ventiladores de techo\Accesorios";;;;;;;;;;"FARO";"100";"Mando a distancia Ventilador de techo Faro";"Kit de mando y recepror de ventiladores de techo Faro. Control remoto de los ventiladores.";"mando a distancia, ventilador de techo, faro";"8421776009073";"es";"kit-mando-y-receptor-ventilador-techo-faro"
"18521172";"892";"Ventilador de techo pala acrílica negra 132 cm. Ø. Odiel.";"21,00";"221,49";"Ventiladores de techo\Ventiladores de techo";"Ventiladores de techo\Ventiladores con luz";"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Zima Lighting";"Ventiladores de techo\Ventiladores Motor Corriente Alterna";"Ventiladores de techo\Ventiladores modernos";;;;;;"SUNACA";"100";"VENTILADORES TECHO MODERNOS 3 PALAS SERIE ODIEL ZIMA";"VENTILADOR DE TECHO MODERNO 3 ASPAS VENTILADORES MODERNOS ";"VENTILADOR DE TECHO, VENTILADORES DE TECHO, ODIEL, ZIMA";;"es";"ventilador-de-techo-serie-odiel-negro-c132cm"
"18521939";"33937";"Kit mando y receptor con programador. FARO";"21,00";"42,15";"Ventiladores de techo\Accesorios";;;;;;;;;;"FARO";"100";;;"MANDO A DISTANCIA, CONTROL REMOTO, VENTILADOR DE TECHO, FARO, VENTILADORES DE TECHO";"8421776012226";"es";"kit-mando-y-receptor-ventilador-techo-faro-con-programador"
"18522080";"3347864055";"Tubo fluorescente circular T5. 55W. Luz fria. SUNACA";"21,00";"14,88";"Ventiladores de techo\Accesorios";;;;;;;;;;"SUNACA";"100";;;;;"es";"tubo-fluorescente-circular-t5-55w-luz-fria-sunaca"
"18522145";"884.46";"Tubo fluorescente circular T5 55W. Luz calida. SUNACA";"21,00";"14,88";"Ventiladores de techo\Accesorios";;;;;;;;;;"SUNACA";"100";;;;;"es";"tubo-fluorescente-circular-t5-55w-luz-calida-sunaca"
"18526986";"072199";"VENTILADOR DE TECHO LED TRIUMPH 132cm. SUL";"21,00";"169,42";"Ventiladores de techo\Ventiladores de techo";"Ventiladores de techo\Ventiladores con luz";"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Sulion";"Ventiladores de techo\Ventiladores Motor Corriente Alterna";"Ventiladores de techo\Ventiladores modernos";;;;;;"SULION";"100";"sul triumph ventiladores de techo led ventilador sul";"Ventiladores de techo Sul Triumph. Ventilador de techo con luz LED y mando a distancia Triumph Sul";"ventilador de techo, ventiladores de techo, ventilador triumph, sul, ventilador led, ventilador sul, triumph";"8426107009562";"es";"ventilador-de-techo-led-triumph-132cm-sul"
"19005296";"33370";"Ventilador Lantau FARO - acero aspas nogal 132cm. Ø";"21,00";"200";"Ventiladores de techo\Ventiladores de techo";"Ventiladores de techo\Ventiladores sin luz";"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Faro";"Ventiladores de techo\Ventiladores Motor Corriente Alterna";"Ventiladores de techo\Ventiladores modernos";;"Ventiladores de techo\Ventiladores Vintage";"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Faro\Ventiladores Faro sin luz";;;"FARO";"0";"Ventilador de Techo Lantau Faro | 132 cm – Súper silencioso 33370";"Descubra el Ventilador de Techo Lantau de la marca Faro &#10003; Súper silencioso &#10003; Enorme torrente de aire &#10003; Aspas de madera natural &#10003; Mando a distancia";"Lantau, Faro, ventilador de techo, faro, ventiladores de techo, lantau";"8421776062702";;"ventilador-de-techo-lantau-faro-132-cm"
"19016197";"33396";"Ventilador Winch FARO marrón 132cm. Ø";"21,00";"185,12";"Ventiladores de techo\Ventiladores de techo";"Ventiladores de techo\Ventiladores con luz";"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Faro";"Ventiladores de techo\Ventiladores Motor Corriente Alterna";;"Ventiladores de techo\Ventiladores Clasicos";"Ventiladores de techo\Ventiladores Vintage";"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Faro\Ventiladores Faro con luz";;;"FARO";"0";"Faro Winch ventilador de techo con luz. Ventilador nd. 33396";"Sorprendete con el Ventilador de Techo Winch de Faro &#10003; Estilo Vintange &#10003; envio gratis &#10003; Mando a distancia &#10003; Maximo diseño &#10003; Distribuidores oficiales  garantizamos el mejor precio.";"ventilador, winch, Faro, faro, Winch, Ventilador de techo, 33396";"8421776081796";;"faro-ventilador-de-techo-con-luz-winch"
"19016914";"33392";"Ventilador Wind FARO. Ventilador blanco con luz 132cm";"21,00";"165,29";"Ventiladores de techo\Ventiladores de techo";"Ventiladores de techo\Ventiladores con luz";"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Faro";"Ventiladores de techo\Ventiladores Motor Corriente Alterna";"Ventiladores de techo\Ventiladores modernos";;;"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Faro\Ventiladores Faro con luz";;;"FARO";"0";"Faro Wind ventilador de techo con luz. Ventiladores Faro 33392";"Compra el Ventilador de Techo Wind de Faro &#10003; Luz LED &#10003; envio gratis &#10003; Mando a distancia &#10003; Maximo diseño &#10003; Distribuidores oficiales ";"ventilador, wind, Faro, faro, Wind, Ventilador de techo, 33392";"8421776060838";;"faro-ventilador-de-techo-con-luz-wind"
"19017482";"33389";"Ventilador Faretto FARO. Ventilador Vespa 132cm. Ø";"21,00";"180,99";"Ventiladores de techo\Ventiladores de techo";"Ventiladores de techo\Ventiladores con luz";"Ventiladores de techo\Nuestras marcas de Ventiladores\Ventiladores Faro";;;;;;;;"FARO";"0";"Ventilador de techo Faretto - Faro Ventiladores con luz";"Refrescate con el ventilador Faretto de Faro &#10003; Ventilador vintage &#10003; Envio gratis* &#10003; Ventilador Vespa. &#10003; Mando a distancia, compra ventilador Faretto al mejor precio garantizado..";"ventilador, faretto, Faro, faro, ,Ventilador de techo, Faretto, 33389";"8421776023895";;"faro-ventilador-de-techo-con-luz-faretto"
