sku;stock;pvpventa
820613-2112;;1.786 
820613-2113;;1.824 
119481;;125 
163846;;245 
183653;;58 
266616N;;475 
316872;;235 
346109;;96 
373067;;53 
373075;;53 
373084;;67 
373579;;110 
456120;;211 
457491;;302 
475168;;91 
5008;;4 
5031;;11 
5033S;;26 
532115;;1.584 
552522;;168 
579930G9;;2.357 
579930G9D;;2.419 
580919;;58 
584102;;86 
591983;;2.107 
593375;;374 
594629;;216 
594782N;;624 
661499;;106 
662199;;82 
662514;;499 
70363;;32 
70806;;67 
725751;;437 
736543;;192 
736543D;;254 
742350;;1.128 
763824;;240 
783618;;389 
783618D;;451 
783627;;413 
783627D;;475 
786351;;154 
787017;;96 
792572;;259 
793258;;998 
793258D;;1.066 
793429;;96 
794017;;211 
851472;;106 
853804;;202 
854275;;144 
854416;;302 
861298;;158 
863964;;178 
876124;;667 
880138;;158 
921688;;158 
174112;1;466 
174112D;1;518 
266251N;1;370 
302915;1;350 
305850;1;1.032 
373437;1;581 
374925;1;398 
485470;1;605 
580931;1;58 
618492;1;288 
648388;1;86 
683759;1;265 
75074542;1;235 
753321;1;917 
810637;1;2.952 
810637D;1;3.000 
831635;1;475 
873079;1;2.952 
873079D;1;2.995 
874426;1;333 
876124D;1;725 
877342;1;763 
924071;1;595 
213301;2;355 
266973N;2;235 
275836;2;2.237 
373437D;2;629 
377485;2;254 
442963;2;120 
456453D;2;317 
473859;2;187 
50121S;2;38 
5017S;2;20 
591684;2;2.237 
591762;2;1.368 
60134;2;158 
654227;2;101 
664443;2;173 
713016;2;1.598 
776538;2;319 
785861;2;2.664 
785861D;2;2.712 
786645;2;230 
793269;2;979 
793412;2;182 
793960G;2;2.261 
793960GD;2;2.314 
832139;2;331 
872478D;2;1.622 
876360;2;432 
876360D;2;475 
946370;2;374 
820426-2059;3;1.464 
2059;3;317 
2062;3;98 
266695;3;475 
287693;3;278 
29-E47;3;946 
305507;3;1.685 
375438;3;319 
456231D;3;235 
473217;3;134 
482164;3;158 
5031S;3;24 
536844;3;590 
618859;3;456 
618914;3;154 
687355;3;211 
690217;3;2.002 
697825;3;86 
697943;3;187 
711132;3;586 
716583;3;317 
7441;3;77 
745201;3;887 
754306;3;374 
756729;3;797 
764011;3;317 
793269D;3;1.027 
794691;3;3.998 
794691D;3;4.147 
863624;3;115 
877503;3;484 
892519;3;143 
820426-2060;4;1.488 
792425-2073;4;706 
820426-2059P;4;1.430 
2073;4;230 
2113;4;259 
213547;4;134 
213547UK;4;147 
345381;4;235 
373629UK;4;202 
442963UK;4;133 
456231;4;158 
494378;4;1.584 
496503;4;1.277 
496640;4;1.157 
5008S;4;22 
584438D;4;365 
591538;4;1.594 
70201;4;24 
70421;4;43 
725106;4;47 
827635;4;374 
956235;4;34 
860752-2083;5;797 
266544N;5;264 
328326;5;235 
589204;5;384 
618253;5;288 
625654;5;130 
663542;5;245 
679215D;5;355 
70101;5;101 
70122;5;106 
710936;5;77 
7148;5;11 
716478;5;413 
716478D;5;475 
736198;5;290 
758022;5;542 
775922;5;158 
854196N;5;158 
854537D;5;605 
854537N;5;475 
876113;5;557 
876113D;5;614 
877019;5;941 
2064;6;190 
2083;6;269 
2112;6;221 
290152;6;341 
