"idoxatis";"sku";"nombre";"stock";"pvpventa";"pvprecomendado";"ean"
18521048;33929;Kit mando a distancia y receptor ventiladores FARO;30;0.00;73,30;8421776009073
18521939;33937;Kit mando y receptor con programador. FARO;30;0.00;86,10;8421776012226
18522002;33928;Regulador de intensidad y luz en pared. FARO;30;0.00;28,60;8421776056657
19005296;33370;Ventilador Lantau FARO - acero aspas nogal 132cm. ?;30;0.00;399,45;8421776062702
19016197;33396;Ventilador Winch FARO marr?n 132cm. ?;30;0.00;372,40;8421776081796
19016914;33392;Ventilador Wind FARO. Ventilador blanco con luz 132cm;30;0.00;331,30;8421776060838
19017482;33389;Ventilador Faretto FARO. Ventilador Vespa 132cm. ?;0;219.00;364,95;8421776023895
19018178;33600;Ventilador de techo Feroe FARO Blanco 106cm.?;0;136.00;221,50;8421776079571
19019484;33601;Ventilador de techo Feroe FARO Niquel 106cm.?;0;138.00;226,70;8421776079588
19019496;33602;Ventilador de techo Feroe FARO Marr?n 106cm.?;1;14700.00;216,55;8421776079595
19019884;33415;Ventilador de techo Easy FARO Blanco 105cm.?;30;0.00;196,90;8421776022836
19019941;33416;Ventilador de techo Easy FARO Gris 105cm.?;30;0.00;196,90;8421776023055
19020480;33318;Ventilador de techo Veneto FARO Blanco 107cm.?;30;0.00;164,85;8421776063563
19020489;33319;Ventilador de techo Veneto FARO Niquel 107cm.?;0;100.90;164,85;8421776063570
19020752;33313;Ventilador Vanu FARO. Ventilador Niquel 132cm.?;0;19150.00;299,69;8421776333130
19020780;33314;Ventilador Vanu FARO - Marron 132cm. ?;30;0.00;310,10;8421776333147
19022476;33179;Ventilador de techo Palao FARO Multicolor 81cm.?;30;0.00;89,50;8421776041103
19022563;33180;Ventilador de techo Palao FARO Blanco 81cm.?;30;0.00;84,50;8421776011618
19022579;33183;Ventilador de techo Palao FARO Niquel 81cm.?;30;0.00;88,50;8421776331839
19022802;33185;Ventilador de techo Palao FARO Marr?n 81cm.?;30;0.00;84,50;8421776331853
19023421;33186;Ventilador de techo Palao FARO Gris 81cm.?;30;0.00;84,50;8421776331860
19026799;33190;Ventilador Manila FARO - Blanco 132cm. ?;0;119.00;193,80;8421776331907
19026801;33192;Ventilador Manila FARO - Marron 132cm. ?;0;124.00;193,80;8421776045828
19026823;33102;Ventilador de techo Lisboa FARO 107cm.?;30;0.00;143,80;8421776331020
19026829;33274;Ventilador Corso FARO - marr?n oxido 132cm. ?;30;0.00;228,30;8421776332744
19026830;33121;Ventilador de techo Aruba FARO blanco 106cm.?;1;69.00;102,10;8421776331211
19026832;33301;Ventilador de techo Galapago FARO 91cm.?;30;0.00;156,20;8421776333017
19026838;33175;Ventilador de techo Jaca FARO 107cm.?;-1;8900.00;130,70;8421776331754
19045843;33372;Ventilador Timor Faro . Ventilador Luz LED 132cm. ?;30;0.00;329,50;8421776062726
19045921;33384;Ventilador Tonsay Faro Ventilador Blanco 132cm ?.;30;0.00;287,10;8421776045835
19045930;33385;Ventilador Tonsay FARO - Acabado Niquel 132cm ?.;30;0.00;303,10;8421776011854
19045935;33386;Ventilador Tonsay. Ventilador Marron 132cm?.;30;0.00;287,10;8421776011847
19046044;33454;Ventilador de techo Mini Ufo FARO Blanco 104cm.?;30;0.00;250,70;8421776062689
19046071;33455;Ventilador de techo Mini Ufo FARO Niquel 104cm.?;30;0.00;263,10;8421776062696
19046431;33347;Ventilador de techo Honolulu FARO 107cm.?;1;168.00;271,13;8421776333475
19047788;33135;Ventilador Ovni FARO - Blanco 132cm. ?;0;271.50;358,90;8421776331358
19048091;33136;Ventilador Ovni FARO - Oro viejo 132cm. ?;0;216.00;358,90;8421776331365
19048302;33137;Ventilador Ovni FARO - Niquel 132cm. ?;0;202.99;358,90;8421776331372
19049182;33019;Ventilador Lombok FARO - marr?n 132cm. ?;0;215.00;356,60;8421776330191
19063833;33357;Ventilador de Exterior Hierro FARO Blanco 132cm.?;0;18500.00;288,75;8421776333574
19065098;33317;Ventilador de techo Lakki FARO sin luz 132cm. ?;0;20900.00;339,50;8421776022898
19065171;33292;Ventilador Mallorca FARO - niquel 132cm ?;30;0.00;222,50;8421776332928
19065175;33351;Ventilador Mallorca FARO - Marr?n 132cm. ?;30;0.00;222,50;8421776333512
19065177;33350;Ventilador Mallorca FARO - Blanco 132cm. ?;30;0.00;222,50;8421776011786
19065187;33603;Ventilador Mini Mallorca FARO Blanco sin luz 106cm.?;0;123.00;199,50;8421776079625
19065200;33605;Ventilador Mini Mallorca FARO Marr?n sin luz 106cm.?;30;0.00;199,50;8421776083905
