"idoxatis";"sku";"nombre";"stock";"pvpventa";"pvprecomendado";"ean"
18519400;E-613144;L?mpara Etna Schuller - Lampara 6 luces pantallas;1;274.00;359,00;
18520570;174213;Plafon Andromeda Schuller - Pantalla abalorios - LED;11;0.00;0,00;
18520573;174631;Aplique Andromeda Schuller - Bolas cromo - LED;42;0.00;0,00;
18521192;E-147538;Sobremesa Elsa Schuller - Pan de plata pantalla;0;158.00;;
18522497;E-357586;Sobremesa perro ver Puppy - Schuller;20;30.00;45,00;
18522585;E-357591;Sobremesa perro azul Puppy - Schuller;4;35.00;;
18522635;840842/2061;Mesa centro Time Schuller - cristal pata ondas;13;797.00;;
18522826;E-471619;Aplique Mol schuller - 6 luces LED;1;111.00;134,00;
18523091;821629;Mesa Calima Schuller - Mueble auxiliar acero 60 cm;9;0.00;0,00;
18523138;821437;Consola Calima Schuller - Acero inoxidable;32;0.00;0,00;
18523139;E-256023;Mecedora Ibiza Schuller - Mecedora exterior negra;1;139.05;204,49;
18523827;174414;Sobremesa Andromeda Schuller - cromo pantalla - LED;30;0.00;0,00;
18523953;174112;Lampara Andromeda Schuller - Colgante ?60cm - LED;18;0.00;0,00;
18524808;174011;Lampara Andromeda Schuller - Colgante ?45cm - LED;26;0.00;0,00;
18524906;586423bl;Sobremesa Blanco Cargador Movil con altavoz - Schuller;0;79.96;135,52;
18524908;586423ng;Sobremesa Negro Cargador Movil con altavoz - Schuller;0;79.96;135,52;
18524979;664443/7376;Sobremesa Terra Schuller - Pan de oro pantalla - LED;1;173.00;;8435435322953
18526139;661530p-ca;SOBREMESA SERIE DECO. Oro/Plata/Marron;0;115.00;;
18526141;661530p-p;SOBREMESA SERIE DECO. Oro/Plata/Marron;0;120.00;;
18526142;661530o-c;SOBREMESA SERIE DECO. Oro/Plata/Marron;0;130.00;;
18526143;661530m-p;SOBREMESA SERIE DECO. Oro/Plata/Marron;0;144.00;;
18526146;661530c-c;SOBREMESA SERIE DECO. Oro/Plata/Marron;0;144.00;;
18528082;664228;Lampara Deco Schuller - Pan de plata pantalla - LED;1;187.00;;
18528358;E-463613;Lampara Luppo Schuller - Lineal abalorios cristal - LED;1;229.00;425,00;
18593248;508030;Plafon Argos Schuller - Plafon ?50cm espejo Argos;91;0.00;0,00;
18593252;508718;Colgante Argos Schuller - Lampara de ?40cm LED;140;0.00;0,00;
18593253;508111;Colgante Argos Schuller - Lampara de ?50cm LED;114;0.00;0,00;
18593258;509010;Colgante Argos Schuller - Colgante de ?22cm LED;119;0.00;0,00;
18593261;508222;Sobremesa Argos Schuller - Tulipa espejo grande - LED;45;0.00;0,00;
18593279;508516;Sobremesa Argos Schuller - Tulipa espejo peque?o - LED;18;0.00;0,00;
18593293;509213;Lampara Argos Schuller - Lampara linea 3 tulipas - LED;12;0.00;0,00;
18593317;509327;Aplique Argos Schuller -Tulipa Espejo;55;0.00;0,00;
18593623;876241;Colgante Ariadna Schuller - Transparente. 2 tama?os;0;451.00;;8435435323981
18593624;876113;Colgante Ariadna Schuller - Transparente. 2 tama?os;8;0.00;0,00;
18593627;876295;Colgante Ariadna Schuller - champagne ?53cm;0;389.00;;
18593628;876124;Colgante Ariadna Schuller - champagne ?66cm;8;0.00;0,00;
18593632;876352;Plaf?n Ariadna Schuller - transparente 53 cm LED;15;0.00;0,00;
18593635;876360;Plaf?n Ariadna Schuller - Cristales champagne 53 cm - LED;5;0.00;0,00;
18594519;193091;Aplique Arian Schuller - tulipa espejo - LED;144;0.00;0,00;
18594540;193273;L?mpara Arian Schuller - 1 Colgante espejo - LED;123;0.00;0,00;
18594553;193364;L?mpara Arian Schuller - 5 Colgantes espejo - LED;56;0.00;0,00;
18594557;193453;L?mpara Arian Schuller - 7 Colgantes espejo - LED;103;0.00;0,00;
18594564;193539;Lampara Arian Schuller - 5 colgantes espejo - LED;9;0.00;0,00;
18594649;874426;Lampara Aruma Schuller - 2 barras LED;2;0.00;0,00;
18595365;696318;Plaf?n Bruma Schuller - Semiplaf?n almendros LED;30;0.00;0,00;
18595381;860218;Colgante Bubble Schuller - Tulipa doble luz LED;87;0.00;0,00;
18595387;E-860117;Lampara Bubble Schuller - 4 colgantes en linea - LED;3;374.00;;
