"idoxatis";"sku";"nombre";"stock";"pvprecomendado";"ean"
18519400;E-613144;L?mpara Etna Schuller - Lampara 6 luces pantallas;1;359,00;
18520570;174213;Plafon Andromeda Schuller - Pantalla abalorios - LED;0;117,00;8,44E+12
18520573;174631;Aplique Andromeda Schuller - Bolas cromo - LED;34;69,00;8,44E+12
18521192;E-147538;Sobremesa Elsa Schuller - Pan de plata pantalla;0;;
18522497;E-357586;Sobremesa perro ver Puppy - Schuller;20;45,00;
18522585;E-357591;Sobremesa perro azul Puppy - Schuller;4;;
18522635;840842/2061;Mesa centro Time Schuller - cristal pata ondas;13;;
18522826;E-471619;Aplique Mol schuller - 6 luces LED;1;134,00;
18523091;821629;Mesa Calima Schuller - Mueble auxiliar acero 60 cm;4;264,00;8,44E+12
18523138;821437;Consola Calima Schuller - Acero inoxidable;38;558,00;8,44E+12
18523139;E-256023;Mecedora Ibiza Schuller - Mecedora exterior negra;1;204,49;
18523827;174414;Sobremesa Andromeda Schuller - cromo pantalla - LED;64;72,00;8,44E+12
18523953;174112;Lampara Andromeda Schuller - Colgante ?60cm - LED;7;291,00;8,44E+12
18524808;174011;Lampara Andromeda Schuller - Colgante ?45cm - LED;21;165,00;8,44E+12
18524906;586423bl;Sobremesa Blanco Cargador Movil con altavoz - Schuller;0;135,52;
18524908;586423ng;Sobremesa Negro Cargador Movil con altavoz - Schuller;0;135,52;
18524979;664443/7376;Sobremesa Terra Schuller - Pan de oro pantalla - LED;1;;8435435322953
18526139;661530p-ca;SOBREMESA SERIE DECO. Oro/Plata/Marron;0;;
18526141;661530p-p;SOBREMESA SERIE DECO. Oro/Plata/Marron;0;;
18526142;661530o-c;SOBREMESA SERIE DECO. Oro/Plata/Marron;0;;
18526143;661530m-p;SOBREMESA SERIE DECO. Oro/Plata/Marron;0;;
18526146;661530c-c;SOBREMESA SERIE DECO. Oro/Plata/Marron;0;;
18528082;664228;Lampara Deco Schuller - Pan de plata pantalla - LED;1;;
18528358;E-463613;Lampara Luppo Schuller - Lineal abalorios cristal - LED;1;425,00;
18593248;508030;Plafon Argos Schuller - Plafon ?50cm espejo Argos;47;270,00;8,44E+12
18593252;508718;Colgante Argos Schuller - Lampara de ?40cm LED;89;174,00;8,44E+12
18593253;508111;Colgante Argos Schuller - Lampara de ?50cm LED;55;279,00;8,44E+12
18593258;509010;Colgante Argos Schuller - Colgante de ?22cm LED;20;66,00;8,44E+12
18593261;508222;Sobremesa Argos Schuller - Tulipa espejo grande - LED;31;198,00;8,44E+12
18593279;508516;Sobremesa Argos Schuller - Tulipa espejo peque?o - LED;36;117,00;8,44E+12
18593293;509213;Lampara Argos Schuller - Lampara linea 3 tulipas - LED;52;192,00;8,44E+12
18593317;509327;Aplique Argos Schuller -Tulipa Espejo;3;84,00;8,44E+12
18593623;876241;Colgante Ariadna Schuller - Transparente. 2 tama?os;0;;8435435323981
18593624;876113;Colgante Ariadna Schuller - Transparente. 2 tama?os;6;348,00;8,44E+12
18593627;876295;Colgante Ariadna Schuller - champagne ?53cm;0;;
18593628;876124;Colgante Ariadna Schuller - champagne ?66cm;1;417,00;8,44E+12
18593632;876352;Plaf?n Ariadna Schuller - transparente 53 cm LED;2;255,00;8,44E+12
18593635;876360;Plaf?n Ariadna Schuller - Cristales champagne 53 cm - LED;7;270,00;8,44E+12
18594519;193091;Aplique Arian Schuller - tulipa espejo - LED;89;45,00;8,44E+12
18594540;193273;L?mpara Arian Schuller - 1 Colgante espejo - LED;194;45,00;8,44E+12
18594553;193364;L?mpara Arian Schuller - 5 Colgantes espejo - LED;41;168,00;8,44E+12
18594557;193453;L?mpara Arian Schuller - 7 Colgantes espejo - LED;91;228,00;8,44E+12
18594564;193539;Lampara Arian Schuller - 5 colgantes espejo - LED;48;168,00;8,44E+12
18594649;874426;Lampara Aruma Schuller - 2 barras LED;3;;8435435315221
18595365;696318;Plaf?n Bruma Schuller - Semiplaf?n almendros LED;23;657,00;8,44E+12
18595381;860218;Colgante Bubble Schuller - Tulipa doble luz LED;34;66,00;8,44E+12
18595387;E-860117;Lampara Bubble Schuller - 4 colgantes en linea - LED;3;;
18595408;E-735836;Lampara Coras Schuller - Colgante blanco y plata - LED;1;394,00;
18599006;827523;Sobremesa Cosmo Schuller - Cromo 2 barras LED;22;99,00;8,44E+12
18599029;827746;Colgante Cosmos Schuller - Cromo luz LED;33;63,00;8,44E+12
18616564;E-827968;Lampara Cosmo schuller - 3 Barras de luz LED;1;;
18616578;827635;L?mpara de pie Cosmo Schuller - 2 barras LED;9;234,00;8,44E+12
18616789;152461;Colgante Cronos Schuller - Cromo ?60cm LED;10;243,00;8,44E+12
18623316;183653;Aplique Cube Schuller - 1 luz LED;11;36,00;8,44E+12
18623325;183542;Sobremesa serie Cube Schuller - Tulipa blanca - LED;43;39,00;8,44E+12
18623346;183320;Plaf?n Cube Schuller - 4 luces tulipas doble - LED;34;111,00;8,44E+12
18623354;183431;Lampara Cube Schuller - 4 tulipas en linea - LED;12;108,00;8,44E+12
18623380;571034G9;Aplique Cubic Schuller - 2 luces cristal - LED;20;75,00;8,44E+12
18623830;508323;Aplique Diamond Schuller - Abalorios cristal;16;81,00;8,44E+12
18623878;508931;L?mpara de pie Diamond Schuller - Abalorios - LED;23;;8435435324032
18623895;507413;Colgante Diamond Schuller - Abalorios cristal - 24cm LED;26;93,00;8,44E+12
18623899;507514;Lampara Diamond Schuller - Abalorios cristal - 54cm LED;1;348,00;8,44E+12
18623910;E-508821;Lampara Diamond Schuller - Ovalada cristal - LED;-1;571,00;8435435305277
18623917;507039;Plaf?n Diamond Schuller - Abalorios cristal - 2 tama?os;6;189,00;8,44E+12
18623918;507130;Plaf?n Diamond Schuller - Abalorios cristal - 2 tama?os;15;276,00;8,44E+12
18625074;49441583/7611;Lampara Domo Schuller - Colgante pantalla blanca - LED;8;;8435435304935
18625163;69441581/7608;Plafon Domo Schuller - Cadenas pantalla blanca;45;475,00;8435435307950
18625168;89431589/7443;Aplique Domo Schuller - Pantalla Beige LED;25;;8435435311599
18625453;506736;Plaf?n Eclipse Schuller - 4 luces tulipas doble - LED;116;105,00;8,44E+12
18625483;506847;Aplique Eclipse Schuller - Doble tulipa bola - Luz LED;107;30,00;8,44E+12
18625562;506514;Lampara Eclipse Schuller - 4 tulipas en linea - LED;85;111,00;8,44E+12
18625610;506625;Sobremesa Eclipse Schuller - Cromo bola - LED;21;33,00;8,44E+12
18630926;711021;Aplique Eloise Schuller - Barras cristal - LED;54;93,00;8,44E+12
18631226;711132;Plaf?n Eloise Schuller - Barras cristal - Luz LED;4;366,00;8,44E+12
18631275;579814G9;L?mpara Espiral Schuller - colgante 1 bola - LED;13;597,00;8,44E+12
18631330;674125;L?mpara colgante de techo Egea. 2 Tama?os.  SCHULLER.;8;;
18631331;E-674238;L?mpara colgante de techo Egea. 2 Tama?os.  SCHULLER.;1;379,00;
18631333;579930G9;L?mpara Espiral Schuller - colgante 3 bolas - LED;2;1,47;8,44E+12
18631809;391329;Sobremesa serie Flash Schuller - Tulipa abalorios -LED;29;51,00;8,44E+12
18631825;391540;Plaf?n Flash Schuller - 4 luces tulipas doble - LED;35;123,00;8,44E+12
18631828;391218;Aplique flash Schuller - abalarios cristal;115;39,00;8,44E+12
18631829;391870;Aplique Flash Schuller - 2 luces LED;60;72,00;8,44E+12
18631831;391653;Lampara Flash Schuller - 4 tulipas en linea - LED;18;135,00;8,44E+12
18631836;653422;L?mpara Fox Schuller - 4 colgantes vintage LED;9;219,00;8,44E+12
18631837;653608;Colgante Fox Schuller - Vintage 1 tulipa - LED;83;69,00;8,44E+12
18637566;690217;L?mpara Estratos Schuller - 3 bolas abalorios - LED;3;1,25;8,44E+12
18640663;535190;Colgante Ishara Schuller - Vintage plata - LED;26;99,00;8,44E+12
18640717;648175;Lampara Isis Schuller - Colgante ?58cm oro - LED;13;219,00;8,44E+12
18640759;E-648091;Lampara Isis Schuller - Colgante blanco oro - LED;1;249,00;
18640792;648362;Aplique Isis Schuller - Blanco y oro - LED;65;54,00;8,44E+12
18640822;648436;Sobremesa Isis Schuller - blanco oro luz LED;20;69,00;8,44E+12
18641989;E-463310G9;Semiplaf?n Luppo Schuller - Abalorios cristal luz LED;1;317,00;
18642125;E-463411G9;Lampara Luppo Schuller - cromo pantalla - LED;1;354,00;
18642291;661418;Sobremesa Mercury Schuller grande cromo pantalla;27;72,00;8,44E+12
18642340;661917;Lampara de Pie Mercury Schuller - Cromo pantalla - LED;38;216,00;8,44E+12
18642827;392742;Lampara Kira Schuller - Colgante blanco - LED;14;190,00;8,44E+12
18644721;872611;Lampara Minerva Schuller - Imperio cromo ?35cm 6L;38;339,00;8,44E+12
18644729;872853;Lampara Minerva Schuller - Imperio cromo ?55cm 10L;32;762,00;8,44E+12
18644759;872941;Lampara Minerva Schuller - Imperio cromo ?68cm 12L;18;1,06;8,44E+12
18644765;872712;Aplique Minerva Schuller - cadenas de metal;6;129,00;8,44E+12
18644809;872593;Plaf?n Minerva Schuller - Lampara imperio 45cm LED;12;477,00;8,44E+12
18644811;872469;Plaf?n Minerva Schuller - Lampara imperio 68cm LED;12;891,00;8,44E+12
18647073;662110;Sobremesa Mercury Schuller peque?o cromo pantalla;31;57,00;8,44E+12
18647119;663554;Colgante Mercury Schuller - Pantalla plata ?50cm. LED;19;126,00;8,44E+12
18647240;663676;Aplique Mercury Schuller - Bolas Transparentes;36;66,00;8,44E+12
18647267;664115;L?mpara Mercury Schuller - pantalla ovalada - LED;23;198,00;8,44E+12
18650299;160320;Aplique Onda Schuller - Abalorios cristal - LED;67;48,00;8,44E+12
18651752;124346;L?mpara Quios Schuller - 46cm. ? luz LED;26;156,00;8,44E+12
18651756;124465;L?mpara Quios Schuller - 54cm. ? luz LED;53;183,00;8,44E+12
18651793;E-164201;L?mpara Rex Schuller - Circular 6 brazos - LED;1;339,00;
18651816;E-164322;L?mpara Rex Schuller - 4 focos malla metal - LED;1;216,00;
18651829;E-164687;Aplique Rex Schuller - Cromo 2 tulipas - LED;2;119,00;8435435313005
18651841;783517;L?mpara Rocio Schuller - 5 Colgantes cromo LED;10;228,00;8,44E+12
18651844;783529;Lampara Rocio Schuller - 5 Colgantes oro - LED;19;240,00;8,44E+12
18651864;784326;Colgante Rocio Schuller - metal cromo 1 luz LED;279;57,00;8,44E+12
18651871;784347;Colgante Rocio Schuller - metal dorado 1 luz LED;64;63,00;8,44E+12
18651874;785635;L?mpara Rocio Schuller - 14 Colgantes cromo LED;20;642,00;8,44E+12
18652312;160563;Plaf?n Saten Schuller - Lampara abalorios 43cm;35;189,00;8,44E+12
18653200;160674;Plaf?n Saten Schuller - Lampara abalorios 55cm;0;297,00;8,44E+12
18653991;161461;Sobremesa Saten Schuller - Pantalla abalorios - LED;20;180,00;8,44E+12
18654009;160785;Aplique Saten Schuller - Abalorios cristal - LED;38;57,00;8,44E+12
18654070;E-471724;Sobremesa Minos Schuller - Pan de plata - LED;1;178,00;
18657248;E-532475;L?mpara Star Schuller - Ovalada con abalorios - LED;1;787,00;
18661149;E-676346;L?mpara Vega Schuller - 3 Colgantes blancos LED;1;235,00;
18661290;E-581623;Lampara Xenia Schuller - Picos blancos - LED;1;418,00;
18661441;198321;Lampara Zone Schuller - Colgante blanco - LED;44;138,00;8,44E+12
18661478;198533;Plaf?n Zone Schuller - Metal blanco luz LED;63;114,00;8,44E+12
18661554;496135;Sobremesa Oliver Schuller - Peque?o Metal cromo - LED;4;;8435435322649
18661568;496248;Sobremesa Oliver Schuller - Grande Metal cromo - LED;5;;8435435312060
18665387;301012;Lampara Artemis Schuller - Redonda LED;7;285,00;8,44E+12
18665540;E-615340;Colgante Esparta Schuller - Hilos plata luz LED;1;269,00;
18665892;481016;L?mpara Verdi Schuller - Florentina 6 luces LED;30;294,00;8,44E+12
18665931;480531/S/A;Aplique Florentino Schuller - 2 luces LED;57;;8435435304690
18672129;810637;L?mpara Palace Schuller - 22 luces clasica LED;3;1,85;8,44E+12
18710868;616148;L?mpara Crisol Schuller - 6 luces vintage - LED;5;;8435435306366
18710898;615926;Aplique Crisol Schuller - Vintage LED;90;57,00;8,44E+12
18711254;861632;Pintura Collage Blue jeans II.  SCHULLER.;16;;
18726170;E-682931;Cuadro Chandelier Schuller - Pintura lampara ara?a;1;279,00;
18738106;E-420321;Espejo Galaxia Schuller - pan de plata 77x54;0;;8435435303877
18741597;721745;Cuadro Partitura Schuller - Pintura piano;26;144,00;8,44E+12
18741636;732401;Cuadro Umbrellas Schuller - Pintura paraguas colores;16;84,00;8,44E+12
18744386;792386/20721;Consola Barroque Schuller - pata barroca cromo;45;;8435435310585
18744397;792538;Silla Barroque Schuller - Metal cromo tapizado blanco;43;162,00;8,44E+12
18754955;742215;Cuadro Summer Schuller - Pintura acrilico playa;15;93,00;8,44E+12
18755012;586107;Pintura acrilica Ucelli  90x120cm.  SCHULLER.;49;93,00;8,44E+12
18755014;772518;Cuadro Tropic Schuller - Pintura rectangular Loros;2;99,00;8,44E+12
18755030;781539;Cuadro Otto Schuller - Pintura perro con gafas;27;72,00;8,44E+12
18758366;E-890276;Cuadro Town Schuller - Pintura ciudad monocromo;1;269,00;
18761962;751213;Bajorrelieve Cubic Schuller - Cuadros Cubos;24;291,00;8,44E+12
18761977;751415;Bajorrelieve Lazos Schuller - Cuadro cristales;9;;8435435309695
18774232;118624;Espejo Dunia Schuller - Marco espejo 120x110;19;297,00;8,44E+12
18792273;163846;Espejo Claudia Schuller - Marco fino plata;2;153,00;8,44E+12
18792453;29-E02LD;Espejo Audry Schuller moderno;0;;
18792576;29-E16;Espejo Cleopatra Schuller - Veneciano 120x80;4;333,00;8,44E+12
18792706;29-E23;Espejo Midas Schuller - Veneciano 70x40;50;99,00;8,44E+12
