"idoxatis";"sku";"nombre";"stock";"pvpventa";"pvprecomendado";"ean"
18520894;25-4413-21-M2;Lampara de pie Serie Iris 42cm ?.   LEDS-C4;0;449.00;628,95;
18522916;25-9614-14-M1;Lampara de pie portatil de exterior blanca. Smooth LEDS-C4;30;357.80;418,95;8435111091067
18522977;25-9503-14-M1;Lampara de pie portatil de exterior blanca. Moonlight LEDS-C4;4;339.00;459,95;8435111088302
18523112;25-9503-Z5-M1;Lampara de pie portatil de exterior negra. Moonlight LEDS-C4;30;320.40;459,95;8435111082010
18523756;00-0053-05-BW;Lampara colgante LED. 2 tama?os, Ringofire. LEDS C4;30;518.60;656,00;8435381406967
18524063;00-4348-21-F9;Colgante Ballons Leds-C4. Lampara metal cromo.;30;323.30;409,00;8435111073575
18524199;00-4034-CT-93;Colgante madera LED. Serie Bamboo.  LEDS-C4;0;788.20;1176,00;8435381433383
18527034;DE-0211-BLA;Ventilador Bagur Leds-C4. Ventilador blanco 132cm?;0;144.00;296,00;8435381449827
19109226;30-3249-CF-M1;Ventilador LED 132 cm. Aspa transparenten Tiga. LEDS-C4;30;319.10;524,80;8435381412524
19109249;30-3249-CF-M1-Azul;Ventilador techo LED 132 cm. Aspa Azul Tiga. LEDS-C4;20;359.00;551,40;
19109250;30-3249-CF-M1-Fuxia;Ventilador techo LED 132 cm. Aspa Fuxia Tiga.  LEDS-C4;20;359.00;553,40;
19109257;30-3249-CF-M1-verde;Ventilador techo LED 132 cm. Aspa Verde Tiga. LEDS-C4;20;359.00;553,40;
19109266;30-4865-N3-F9;Ventilador de techo LED 132 cm. Fus. LEDS-C4;30;303.40;499,00;8435381423018
19110510;30-3250-CF-M1;Ventilador de techo LED 132cm. Ceos. LEDS-C4;30;297.70;489,50;8435381412531
19110541;30-4864-16-F9;Ventilador Klar Leds-C4 Beige 106cm.;30;200.70;316,00;8435381423001
19110545;30-4399-14-F9;Ventilador de techo 106 cm. Borneo Blanco. LEDS-C4;30;141.00;186,20;8435111089781
19110590;30-4399-81-F9;Ventilador de techo 106 cm. Borneo Gris. LEDS-C4;30;141.00;186,20;8435111082645
19110594;30-4399-E4-F9;Ventilador de techo 106 cm. Borneo Oro viejo. LEDS-C4;30;141.00;186,20;8435381401726
19110596;30-4399-J7-F9;Ventilador de techo 106 cm. Borneo Marron. LEDS-C4;0;141.00;186,20;8435111082652
19110598;30-4393-CF-M1;Ventilador Formentera Leds-C4. Blanco 132cm.;30;239.00;366,90;8435381401740
19110620;30-1965-81-E9;Ventilador de techo 132 cm.?. Aukena. LEDS-C4;30;214.30;351,90;8435381402266
19110626;30-2854-81-F9;Ventilador de techo 132 cm.?. Hawai niquel. LEDS-C4;30;151.80;299,50;8435111070659
19110630;30-0068-14-F9;Ventilador Samal Blanco Leds-c4  ? 132cm;30;236.80;389,00;8435111089873
19110632;30-0068-81-F9;Ventilador Samal Leds-c4  Niquel. ? 132cm;30;240.30;389,00;8435111089880
19111795;30-4355-CF-M1;Ventilador de techo 132 cm.?. Bahia Blanco. LEDS-C4;4;159.00;362,00;8435381401757
19111833;30-4355-81-M1;Ventilador de techo 132 cm.?. Bahia Niquel. LEDS-C4;0;179.90;362,00;8435111076910
19112073;30-3248-CG-E9;Ventilador de techo 132 cm.? Vintage Cobre. LEDS-C4;30;219.40;349,90;8435111070659
19112745;30-3248-16-E9;Ventilador de techo 132 cm.?. Vintage Beige. LEDS-C4;0;237.00;355,95;
19115276;30-4357-81-82-beige;Ventilador de techo 132 cm.?. Belmont Pant Beige. LEDS-C4;20;213.00;375,35;8435111076934
19115308;30-4357-81-82-gris;Ventilador de techo 132 cm.?. Belmont Pant Gris. LEDS-C4;20;229.00;375,35;8435111076934
19118628;30-4357-81-82-blanca;Ventilador de techo 132 cm.?. Belmont Pant Blanca. LEDS-C4;20;229.90;402,10;8435111076934
19127499;30-4354-81-M1;Ventilador de techo 132 cm.?. Toronto Niquel. LEDS-C4;0;222.00;329,50;8435111076903
19128614;30-1854-CF-F9;Ventilador de techo 91 cm.?. Bouvet. LEDS-C4;0;127.00;173,95;8435381401719
19128640;30-4405-J7-E7;Ventilador de techo Dominica 106cm. LEDS-C4;0;89.00;173,90;
19128688;30-4398-J7-J7;Ventilador Phuket Leds-c4 Marron sin luz 132cm.?;30;206.50;331,70;8435111082614
19128689;30-4863-CF-CF;Ventilador Tupai blanco LEDS-C4, motor DC. ? 132cm;30;220.90;357,50;8435381425371
19128694;30-4863-81-81;Ventilador Tupai niquel LEDS-C4, motor DC. ? 132cm;30;220.90;357,50;8435381425388
19128924;30-4866-CF-CF;Ventilador Tupai blanco LEDS-C4, motor DC. ? 106cm;4;220.90;357,50;8435381425357
19128928;30-4866-81-81;Ventilador 106 cm.?. Motor DC. Tupai niquel. LEDS-C4;0;220.90;357,50;8435381425364
19128933;30-4356-CF-CF;Ventilador de techo 132 cm.?. Serie Mogan. LEDS-C4;30;197.90;324,90;8435381401771
19128941;30-1964-CF-CF;Ventilador de techo 132 cm.?. Rodas blanco. LEDS-C4;30;209.50;339,00;8435381402440
19128951;30-1964-N3-N3;Ventilador de techo 132 cm.?. Rodas niquel. LEDS-C4;30;209.50;339,00;8435381402297
19128968;71-1964-N3-N3;Barra alargadora ventilador Rodas. Blanco o Gris. LEDS-C4;10;13.20;16,90;8435381402303
19128980;71-4398-J7-F9;Kit de Luz para Ventilador Phuket marr?n. LEDS-C4;30;35.80;56,60;8435111082621
19128997;71-4867-11-11;Kit de aspas Azules para ventilador Tiga. LEDS-C4.;30;39.00;56,60;8435381425241
19129005;71-4867-13-13;Kit de aspas Magenta para ventilador Tiga. LEDS-C4.;30;39.00;56,60;8435381425258
19129006;71-4867-24-24;Kit de aspas Amarillo verdoso para ventilador Tiga. LEDS-C4.;30;39.00;56,60;8435381425265
19129031;71-1843-CF-CF;Barras para alargar ventiladores de techo LEDS-C4;10;9.40;;8435381401689
19129075;71-4399-14-14;Kit Mando a distancia Ventiladores. LEDS-C4;0;47.50;75,70;8435111083505
19466845;00-5695-05-05;Lampara Invisible Leds-C4. Lampara 3 brazos LED Grok;10;534.40;676,00;8435381471422
19467046;00-3543-BW-BW;Colgante Blanco u Oro. Serie Angie.   LEDS-C4;10;300.40;414,10;8435381422417
19470321;00-3647-BW-M3;Colgante Circ Leds-C4. Disponible en 2 y 3 aros LED. Grok;0;1012.70;1281,00;8435381418014
19470473;00-0000-BW-M3;Colgante Circ Leds-C4. 1 aro. 3 Tama?os. Grok;8;460.00;570,00;
19470704;00-2934-BW-M3;Lampara Circ Leds-C4. 100 o 150cm, LED Grok.;30;249.00;315,00;
19470757;00-4876-BW-M3;L?mpara Circ Leds-C4. Rectangular 120x40cm Grok.;4;447.40;566,00;8435381425517
19470825;00-2924-BW-M1;Lampara lineal. Touch, regulable serie Stream.   LEDS-C4;30;489.30;583,00;8435381414917
19470946;00-0003-BW-M1;Lampara colgante LED. 57cm ? Serie Net.   LEDS-C4;30;434.80;550,00;8435111090916
19470985;00-3685-BW-M1U;Lampara colgante LED. 25cm ?, Serie Net.   LEDS-C4;0;195.00;271,95;8435381437381
19471048;00-0779-BW-M1;Lampara lineal LED. 116cm, Serie Net.   LEDS-C4;4;419.00;530,00;8435111093061
19471072;00-0778-BW-M1;Colgantes de techo, negro o blanco, serie Tandem.   LEDS-C4;0;297.00;412,65;8435111098516
19472278;00-2727-AP-05;Colgante Umbrella Leds-C4. Colgante negro 60 o 100cm Grok.;30;343.10;434,00;8435111059173
19472331;00-2727-AQ-78;Colgante Blanco, 60 o 100cm ? Umbrella. LEDS C4;30;343.10;434,00;8435111062838
19474574;00-4391-BW-05;Colgante rojo, negro o gris Serie Blomma LEDS-C4;0;346.00;480,70;8435381411145
19482082;00-4416-05-23;Colgante negro o blanco Serie Tulip   LEDS-C4;0;90.90;166,95;8435111083543
19482111;00-4413-21-M2;L?mpara colgante de techo 42 CM. ?. serie Iris. LEDS-C4;10;340.00;422,95;
19483930;05-1819-BW-BW;Aplique de pared blanco LED. 2 tama?os. Rizz  LEDS-C4;30;110.60;159,60;8435381493684
19483950;05-1819-AF-AF;Aplique de pared niquel LED. 2 tama?os. Rizz  LEDS-C4;30;118.50;159,60;8435381493677
19484002;05-1819-AF-AF;Aplique de pared oro LED. 2 tama?os. Rizz  LEDS-C4;30;118.50;166,65;8435381493677
19487425;05-4394-AH-M1;Aplique de pared LED blanco o niquel, Bend.  LEDS-C4;30;127.20;199,00;8435381435622
19487756;10-4391-BW-05;Sobremesa rojo, negro o gris Serie Blomma LEDS-C4;-1;281.00;391,15;
19487996;25-0058-BW-M1;Lampara de pie curva orientable Ballons.  LEDS-C4;0;790.60;1207,50;8435381403287
19488024;00-2017-14-14;Lampara lineal LED. Serie Curl blanca. LEDS-C4.;30;315.70;429,90;8435381404932
19488052;25-4391-BW-25;Lampara de pie roja, negra o gris Serie Blomma LEDS-C4;0;403.00;562,90;
19511536;00-3806-CI-CI;Colgante LED individual o triple Serie Sixties.   LEDS-C4;0;529.00;743,60;
20177825;30-5377-81-92;Ventilador Stem nogal Leds-c4 - Motor DC. 137cm. ?.;30;247.00;399,90;8435381493585
20707216;30-5378-14-F9;Ventilador de techo ?132 cm motor DC. Garbi LEDS-C4;30;315.00;549,00;8435381440190
22746538;30-5681-CF-F9;Ventilador Vera LEDS-C4 blanco Led 111cm.?;30;161.00;316,10;8435381472641
22746597;30-5681-J7-F9;Ventilador Vera LEDS-C4 marron Led 111cm.?;30;201.60;326,30;8435381456016
22748039;30-4864-J7-F9;Ventilador Klar Leds-C4 Marron 106cm.;30;200.70;316,10;8435381454128
22752914;30-4398-16-16;Ventilador Phuket Leds-c4 Beige sin luz 132cm.?;30;205.00;331,70;8435381454111
22752944;71-4398-16-16;Kit de Luz para Ventilador Phuket beige. LEDS-C4;20;37.00;56,60;8435381462475
22753127;30-5679-14-14;Ventilador Lace Leds-C4, Blanco motor DC.;30;182.00;299,00;8435381455989
22753719;30-5679-N3-N3;Ventilador Lace Leds-C4, Gris motor DC.;30;182.00;299,00;8435381455996
22755371;30-5638-DB-DB;Ventilador de techo Handia Leds-C4, motor DC.;0;468.90;749,00;8435381454388
23828864;30-4398-J7-J7+LUZ;Ventilador de techo + Kit de Luz.132cm ?. Phuket LEDS-C4;20;238.00;388,00;
24752169;30-4393-N3-M1;Ventilador Formentera Leds-C4. Gris 132cm.;30;226.70;366,90;8435111082829
24785641;00-6015-06-M1;Colgante Saturn. L?mpara LED cobre. Disponible en 2 tama?os.;0;229.20;290,00;8435381471484
24788171;00-6017-27-27;Colgante Candle Leds-c4. Lampara 1 luz;30;134.40;185,13;8435381473044
24788182;00-6021-27-27;Colgante Candle Leds-c4. Lampara 3 luces;30;343.60;473,11;8435381494773
24792924;00-6019-27-27;Lampara Candle Leds-c4. Lampara 15 luces;0;1571.60;2176,79;8435526861743
24792944;00-6066-27-27;Lampara Candle Leds-c4. Lampara 18 luces;0;2315.00;2708,80;8435381473082
24792970;71-6022-27-27;Accesorio Plato de Colgante Candle Leds-c4.;30;12.10;20,00;8435381473143
24794696;00-5999-05-M1;Lampara Tubs Leds-c4. 2 Tama?os. Luz LED;30;394.30;499,00;8435381462352
25405473;DE-0206-GRI;Ventilador Mauritius Leds-C4. Ventilador gris 132cm.?;0;169.00;354,00;8435381449889
25999140;30-5377-81-93;Ventilador Stem pino Leds-c4 - Motor DC. 137cm. ?.;30;252.30;399,90;8435381493592
25999422;30-6145-81-92;Ventilador Stem nogal Leds-c4 - Motor DC. LED 137cm. ?.;30;291.90;464,90;8435381493608
25999429;30-6145-81-93;Ventilador Stem pino Leds-c4 - Motor DC. LED  137cm. ?.;30;291.90;464,90;8435381493615
25999594;DE-0210-SAT;Ventilador Tupai Niquel LEDS-C4, motor AC. ? 132cm;12;140.00;243,00;8435381449834
