"idoxatis";"sku";"nombre";"stock";"pvpventa";"pvprecomendado";"ean"
18528397;ESP-0664;LAMPARA LLAMAS SINTESYS MANTRA 0664;0;277.70;;
18528400;ESP-0664-SMP;LAMPARA LLAMAS SINTESYS MANTRA 0664;0;243.21;;
18758462;4980;Lampara de techo LED. Oval serie Nur.   MANTRA;66;300.00;;
18761277;4981;Lampara de techo LED. Oval doble, serie Nur.   MANTRA;0;394.00;;
18761355;4982;Lampara de techo LED. 52 cm. ?. serie Nur.   MANTRA;25;254.00;;
18761426;4984;Plafon de techo 57 cm. ?. LED serie Nur.   MANTRA;40;282.00;;
18761436;4985;Aplique de pared LED serie Nur.     MANTRA;0;120.00;;
18761440;4986;L?mpara de Sobremesa LED. serie Nur.     MANTRA;64;122.00;;
18761568;4860;Lampara de techo LED. serie Sahara.     MANTRA;18;266.00;;
18761900;4900;Colgante de techo LED serie Oakley cromo. MANTRA;41;564.28;;
18761954;4895;Plaf?n de techo 3 Tama?os serie OPal.  MANTRA;26;246.00;;
18762196;4930;Lampara articulada 2 brazos P/blanca. Nordica.   MANTRA;23;124.82;;
18762199;4931;Lampara articulada 2 brazos P/negra. Nordica.   MANTRA;5;124.82;;
18762213;4926;Colgante de techo pantalla blanca. Nordica. MANTRA;10;57.14;;
18762217;4929;Colgante articulado Nordica negra.   MANTRA;17;93.23;;
18770144;4927;Colgante de techo pantalla negra. Nordica. MANTRA;38;57.14;;
18770150;4924;Aplique pared pantalla beige. Nordica. MANTRA;49;50.00;;
18770486;4925;Aplique pared pantalla negra. Nordica. MANTRA;62;50.00;;
18771444;4922;L?mpara sobremesa Flexo blanco. Nordica.    MANTRA;51;134.00;;
18771617;4923;L?mpara sobremesa Flexo P/negra. Nordica.    MANTRA;19;134.00;;
18772355;4920;Lampara de pie pantalla blanca. Nordica.    MANTRA;10;202.00;;
18773691;4921;Lampara de pie Nordica negra.   MANTRA;24;202.00;;
18777585;4928;Colgante articulado pantalla blanca. Nordica.   MANTRA;38;93.24;;
18792130;4811;Colgante de techo LED. Maui madera.   MANTRA;19;350.00;;
18792741;4082;Colgante de techo LED 4 tonalidades. Discobolo.   MANTRA;10;429.76;;
18792743;4490;Colgante de techo LED 4 tonalidades serie Discobolo. MANTRA;5;410.61;;
18792744;4493;Colgante de techo LED 4 tonalidades serie Discobolo. MANTRA;10;423.38;;
18792916;4088;Plaf?n LED Discobolo. 4 tonalidades.   MANTRA;25;256.79;;
18792917;4488;Plaf?n LED Discobolo. 4 tonalidades.   MANTRA;1;244.02;;
18792918;4492;Plaf?n LED Discobolo. 4 tonalidades.   MANTRA;33;244.02;;
18792919;4495;Plaf?n LED Discobolo. 4 tonalidades.   MANTRA;13;252.53;;
18792995;4087;Plaf?n LED Discobolo. 4 tonalidades.   MANTRA;8;422.51;;
18792996;4487;Plaf?n LED Discobolo. 4 tonalidades.   MANTRA;10;403.36;;
18792998;4494;Plaf?n LED Discobolo. 4 tonalidades.   MANTRA;17;416.13;;
18796519;4080;Colgante de techo LED 110 cm. Hemisferic.    MANTRA;27;306.00;;
18797569;4081;Colgante de techo LED 70 cm. Serie Hemisferic.     MANTRA;24;238.00;;
18802463;4083;Semiplaf?n de techo LED 70 cm. Hemisferic.  MANTRA;15;244.00;;
18802718;4084;Aplique de pared LED serie Hemisferic.   MANTRA;31;98.00;;
18802918;4085;L?mpara de sobremesa LED Hemisferic.   MANTRA;37;112.00;;
18803134;4086;Lampara pie de sal?n LED. Hemisferic.    MANTRA;30;384.00;;
18859432;3622;Colgante Mediterraneo. 3 Tama?os.  MANTRA;38;68.00;;
