"idoxatis";"sku";"nombre";"stock";"pvpventa";"pvprecomendado";"ean"
18519400;E-613144;Lámpara Etna Schuller - Lampara 6 luces pantallas;1;274;359,00;
18520570;174213;Plafon Andromeda Schuller - Pantalla abalorios - LED;11;187;;8435435301224
18520573;174631;Aplique Andromeda Schuller - Bolas cromo - LED;42;110;;8435435301255
18521192;E-147538;Sobremesa Elsa Schuller - Pan de plata pantalla;0;158;;
18522497;E-357586;Sobremesa perro ver Puppy - Schuller;20;30;45,00;
18522585;E-357591;Sobremesa perro azul Puppy - Schuller;4;35;;
18522635;840842/2061;Mesa centro Time Schuller - cristal pata ondas;12;797;;
18522826;E-471619;Aplique Mol schuller - 6 luces LED;1;111;134,00;
18523091;821629;Mesa Calima Schuller - Mueble auxiliar acero 60 cm;9;422;;8435435310929
18523138;821437;Consola Calima Schuller - Acero inoxidable;32;893;;8435435310912
18523139;E-256023;Mecedora Ibiza Schuller - Mecedora exterior negra;1;139,05;204,49;
18523827;174414;Sobremesa Andromeda Schuller - cromo pantalla - LED;30;115;;8435435301231
18523953;174112;Lampara Andromeda Schuller - Colgante Ø60cm - LED;18;466;;8435435323615
18524808;174011;Lampara Andromeda Schuller - Colgante Ø45cm - LED;26;264;;8435435301200
18524906;586423bl;Sobremesa Blanco Cargador Movil con altavoz - Schuller;0;79,96;135,52;
18524908;586423ng;Sobremesa Negro Cargador Movil con altavoz - Schuller;0;79,96;135,52;
18524979;664443/7376;Sobremesa Terra Schuller - Pan de oro pantalla - LED;1;173;;8435435322953
18526139;661530p-ca;SOBREMESA SERIE DECO. Oro/Plata/Marron;0;115;;
18526141;661530p-p;SOBREMESA SERIE DECO. Oro/Plata/Marron;0;120;;
18526142;661530o-c;SOBREMESA SERIE DECO. Oro/Plata/Marron;0;130;;
18526143;661530m-p;SOBREMESA SERIE DECO. Oro/Plata/Marron;0;144;;
18526146;661530c-c;SOBREMESA SERIE DECO. Oro/Plata/Marron;0;144;;
18528082;664228;Lampara Deco Schuller - Pan de plata pantalla - LED;1;187;;
18528358;E-463613;Lampara Luppo Schuller - Lineal abalorios cristal - LED;1;229;425,00;
18593248;508030;Plafon Argos Schuller - Plafon Ø50cm espejo Argos;91;432;475,00;8435435323783
18593252;508718;Colgante Argos Schuller - Lampara de Ø40cm LED;140;278;317,00;8435435305260
18593253;508111;Colgante Argos Schuller - Lampara de Ø50cm LED;114;446;;8435435305208
18593258;509010;Colgante Argos Schuller - Colgante de Ø22cm LED;119;106;125,00;8435435305291
18593261;508222;Sobremesa Argos Schuller - Tulipa espejo grande - LED;45;317;;8435435305215
18593279;508516;Sobremesa Argos Schuller - Tulipa espejo pequeño - LED;18;187;211,00;8435435305246
18593293;509213;Lampara Argos Schuller - Lampara linea 3 tulipas - LED;12;307;374,00;8435435305307
18593317;509327;Aplique Argos Schuller -Tulipa Espejo;55;134;;8435435305314
18593623;876241;Colgante Ariadna Schuller - Transparente. 2 tamaños;0;451;;8435435323981
18593624;876113;Colgante Ariadna Schuller - Transparente. 2 tamaños;8;557;;8435435323868
18593627;876295;Colgante Ariadna Schuller - champagne Ø53cm;0;389;;
18593628;876124;Colgante Ariadna Schuller - champagne Ø66cm;8;667;;8435435311469
18593632;876352;Plafón Ariadna Schuller - transparente 53 cm LED;15;408;;8435435323998
18593635;876360;Plafón Ariadna Schuller - Cristales champagne 53 cm - LED;5;432;;8435435324001
18594519;193091;Aplique Arian Schuller - tulipa espejo - LED;144;72;;8435435313012
18594540;193273;Lámpara Arian Schuller - 1 Colgante espejo - LED;123;72;;8435435313036
18594553;193364;Lámpara Arian Schuller - 5 Colgantes espejo - LED;56;269;;8435435323646
18594557;193453;Lámpara Arian Schuller - 7 Colgantes espejo - LED;103;365;;8435435323653
18594564;193539;Lampara Arian Schuller - 5 colgantes espejo - LED;9;269;;8435435313067
18594649;874426;Lampara Aruma Schuller - 2 barras LED;2;595;;8435435315221
18595365;696318;Plafón Bruma Schuller - Semiplafón almendros LED;30;1051;;8435435312121
18595381;860218;Colgante Bubble Schuller - Tulipa doble luz LED;87;106;;8435435314149
18595387;E-860117;Lampara Bubble Schuller - 4 colgantes en linea - LED;3;374;;
18595408;E-735836;Lampara Coras Schuller - Colgante blanco y plata - LED;1;259;394,00;
18599006;827523;Sobremesa Cosmo Schuller - Cromo 2 barras LED;33;158;;8435435313371
18599029;827746;Colgante Cosmos Schuller - Cromo luz LED;14;101;;
18616564;E-827968;Lampara Cosmo schuller - 3 Barras de luz LED;1;370;;
18616578;827635;Lámpara de pie Cosmo Schuller - 2 barras LED;30;374;;8435435313388
18616789;152461;Colgante Cronos Schuller - Cromo Ø60cm LED;15;389;;8435435322823
18623316;183653;Aplique Cube Schuller - 1 luz LED;33;58;;8435435301361
18623325;183542;Sobremesa serie Cube Schuller - Tulipa blanca - LED;59;62;;8435435301354
18623346;183320;Plafón Cube Schuller - 4 luces tulipas doble - LED;20;178;;8435435301330
18623354;183431;Lampara Cube Schuller - 4 tulipas en linea - LED;15;173;;8435435301347
18623380;571034G9;Aplique Cubic Schuller - 2 luces cristal - LED;41;120;;8435435313593
18623830;508323;Aplique Diamond Schuller - Abalorios cristal;8;130;;8435435305222
18623878;508931;Lámpara de pie Diamond Schuller - Abalorios - LED;8;475;;8435435324032
18623895;507413;Colgante Diamond Schuller - Abalorios cristal - 24cm LED;36;149;;8435435305154
18623899;507514;Lampara Diamond Schuller - Abalorios cristal - 54cm LED;9;557;;8435435305161
18623910;E-508821;Lampara Diamond Schuller - Ovalada cristal - LED;-1;445;571,00;8435435305277
18623917;507039;Plafón Diamond Schuller - Abalorios cristal - 2 tamaños;13;302;;8435435305130
