TemplateType=Offer	Version=2014.0703																	
sku	price	quantity	product-id	product-id-type	condition-type	condition-note	ASIN-hint	title	product-tax-code	operation-type	sale-price	sale-start-date	sale-end-date	leadtime-to-ship	launch-date	is-giftwrap-available	is-gift-message-available	fulfillment-center-id
sku	price	quantity	product-id	product-id-type	condition-type	condition-note	ASIN-hint	title	product-tax-code	operation-type	sale-price	sale-start-date	sale-end-date	leadtime-to-ship	launch-date	is-giftwrap-available	is-gift-message-available	fulfillment-center-id
057M-4491	393.28	0	8,43515E+12	EAN	NEW									3					
057M-5990	307,75	24	8,43515E+12	EAN	NEW									3					
057M-0932	249,60	0	8,43515E+12	EAN	NEW									3					
057M-5817	241,61	0	8,43515E+12	EAN	NEW									3					
057M-4968	249,44	0	8,43515E+12	EAN	NEW									3					
057M-3706	206,70	9	8,43515E+12	EAN	NEW									3					
057M-0775	172,07	25	8,43515E+12	EAN	NEW									3					
057M-1883	158,00	0	8,43515E+12	EAN	NEW									3					
057M-1908	159,90	17	8,43515E+12	EAN	NEW									3					
057M-6198	151,10	62	8,43515E+12	EAN	NEW									3					
057M-4843E	144,87	18	8,43515E+12	EAN	NEW									3					
057M-1882	122,00	79	8,43515E+12	EAN	NEW									3					
057M-1909	124,80	0	8,43515E+12	EAN	NEW									3					
057M-5862	118,96	23	8,43515E+12	EAN	NEW									3					
057M-4867	100,56	22	8,43515E+12	EAN	NEW									3					
057M-6199	95,28	24	8,43515E+12	EAN	NEW									3					
057M-0938	91,65	20	8,43515E+12	EAN	NEW									3					
057M-1392	89.7	0	8,43515E+12	EAN	NEW									3					
057M-3546	89,70	65	8,43515E+12	EAN	NEW									3					
057M-5215	77.57	0	8,43515E+12	EAN	NEW									3					
057M-1629	72,15	19	8,43515E+12	EAN	NEW									3					
057M-5735	58,50	58	8,43515E+12	EAN	NEW									3					
057M-3949	52,65	20	8,43515E+12	EAN	NEW									3					
057M-7015	25,80	428	8,43515E+12	EAN	NEW									3					
057M-7016	25,80	143	8,43515E+12	EAN	NEW									3					
057M-7017	25,80	419	8,43515E+12	EAN	NEW									3					
057M-7018	25,80	408	8,43515E+12	EAN	NEW									3					
057M-7011	20,20	267	8,43515E+12	EAN	NEW									3					
057M-7012	20,20	349	8,43515E+12	EAN	NEW									3					
057M-7013	20,20	448	8,43515E+12	EAN	NEW									3					
057M-7014	20,20	443	8,43515E+12	EAN	NEW									3					
057M-5918	291,56	0	8,43515E+12	EAN	NEW									3					
057M-4488	237,92	1	8,43515E+12	EAN	NEW									3					
057M-1813	132,00	19	8,43515E+12	EAN	NEW									3					
057M-5772	114.8	0	8,43515E+12	EAN	NEW									3					
057M-1327	52,65	2	8,43515E+12	EAN	NEW									3					
057M-1111	210,60	30	8,43515E+12	EAN	NEW									3					
057M-3704	144,30	21	8,43515E+12	EAN	NEW									3					
057M-5032	43,81	0	8,43515E+12	EAN	NEW									3					
057M-5562	523,17	4	8,43515E+12	EAN	NEW									3					
057M-1335	255,20	14	8,43515E+12	EAN	NEW									3					
057M-5210	223.59	0	8,43515E+12	EAN	NEW									3					
057M-1154	44,85	7	8,43515E+12	EAN	NEW									3					
057M-5832	492,68	0	8,43515E+12	EAN	NEW									3					
057M-3531	222,30	0	8,43515E+12	EAN	NEW									3					
057M-1110	163,80	14	8,43515E+12	EAN	NEW									3					
057M-0995	161,85	0	8,43515E+12	EAN	NEW									3					
057M-1138	144,30	0	8,43515E+12	EAN	NEW									3					
057M-1107	130,66	4	8,43515E+12	EAN	NEW									3					
057M-3703	105,29	0	8,43515E+12	EAN	NEW									3					
057M-3536	89,70	0	8,43515E+12	EAN	NEW									3					
057M-1815	58,50	23	8,43515E+12	EAN	NEW									3					
057M-4841E	110.38	16	8,43515E+12	EAN	NEW									3					
057M-1420	113,10	0	8,43515E+12	EAN	NEW									3					
057M-1104	50,70	0	8,43515E+12	EAN	NEW									3					
057M-0967	126,75	0	8,43515E+12	EAN	NEW									3					
057M-3548	35,10	115	8,43515E+12	EAN	NEW									3					
057M-6485	60,50	92	8,43515E+12	EAN	NEW									3					
057M-5911	394,82	0	8,43515E+12	EAN	NEW									3					
057M-1106	230,11	0	8,43515E+12	EAN	NEW									3					
