TemplateType=Offer	Version=2014.0703																																																																																																																																																																																																																																																														
sku	price	quantity	product-id	product-id-type	condition-type	condition-note	ASIN-hint	title	product-tax-code	operation-type	sale-price	sale-start-date	sale-end-date	leadtime-to-ship	launch-date	is-giftwrap-available	is-gift-message-available	fulfillment-center-id																																																																																																																																																																																																																																													
sku	price	quantity	product-id	product-id-type	condition-type	condition-note	ASIN-hint	title	product-tax-code	operation-type	sale-price	sale-start-date	sale-end-date	leadtime-to-ship	launch-date	is-giftwrap-available	is-gift-message-available	fulfillment-center-id																																																																																																																																																																																																																																													
PRUEBA-4491	393.28	0	8435153244919	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5990	307.75	0	8435153259906	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-0932	249.6	0	8435153209321	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5817	241.61	0	8435153258176	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-4968	249.44	0	8435153249686	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-3706	206.70	0	8435153237065	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-0775	202.8	0	8435153207754	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1883	158.00	0	8435153218835	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1908	159.90	0	8435153219085	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6198	151.10	0	8435153261985	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-4843E	144.87	0	8435153948435	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1882	122.00	0	8435153218828	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1909	124.80	0	8435153219092	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5862	118.96	0	8435153258626	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-4867	100.56	0	8435153248672	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6199	95.28	0	8435153261992	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-0938	91.65	0	8435153209383	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1392	89.7	0	8435153213922	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-3546	89.70	0	8435153235467	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5215	77.57	0	8435153252150	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1629	72.15	0	8435153216299	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5735	58.50	0	8435153257353	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-3949	52.65	0	8435153239496	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-7015	25.80	0	8435153270154	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-7016	25.80	0	8435153270161	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-7017	25.80	0	8435153270178	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-7018	25.80	0	8435153270185	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-7011	20.20	0	8435153270116	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-7012	20.20	0	8435153270123	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-7013	20.20	0	8435153270130	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-7014	20.20	0	8435153270147	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5918	291.56	0	8435153259180	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-4488	237.92	0	8435153244889	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1813	132.00	0	8435153218132	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5772	114.8	0	8435153257728	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1327	52.65	0	8435153213274	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1111	210.60	0	8435153211119	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-3704	144.30	0	8435153237041	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5032	43.81	0	8435153250323	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5562	523.17	0	8435153255625	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1335	255.20	0	8435153213359	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5210	223.59	0	8435153252105	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1154	44.85	0	8435153211546	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5832	492.68	0	8435153258329	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-3531	222.30	0	8435153235313	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1110	163.80	0	8435153211102	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-0995	161.85	0	8435153209956	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1138	144.30	0	8435153211386	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1107	130.66	0	8435153211072	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-3703	105.29	0	8435153237034	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-3536	89.70	0	8435153235368	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1815	58.50	0	8435153218156	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-4841E	110.38	0	8435153948411	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1420	113.10	0	8435153214202	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1104	50.70	0	8435153211041	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-0967	126.75	0	8435153209673	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-3548	35.10	0	8435153235481	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6485	60.50	0	8435153264856	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5911	394.82	0	8435153259111	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1106	230.11	0	8435153211065	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1620	216.44	0	8435153216206	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-3709	273.00	0	8435153237096	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1151	173.55	0	8435153211515	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6500	117.12	0	8435153265006	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1647	48.75	0	8435153216473	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1132	126.75	0	8435153211324	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-3873	479.70	0	8435153238734	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6144	204.44	0	8435153261442	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1906	111.15	0	8435153219061	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1805	56.56	0	8435153218057	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5805	276.71	0	8435153258053	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-0774	105.3	0	8435153207747	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-3623	236.01	0	8435153236235	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-3683	97.50	0	8435153236839	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6206	231.76	0	8435153262067	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1130	185.25	0	8435153211300	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-4081	232.05	0	8435153240812	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1427	56.56	0	8435153214271	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-3537	58.50	0	8435153235375	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5035	40.28	0	8435153250354	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-3680	196.95	0	8435153236808	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5432	64.80	0	8435153254321	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-4998	263.21	0	8435153249983	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-3543	234.00	0	8435153235436	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-1425	50.70	0	8435153214257	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6145	208.94	0	8435153261459	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-4073	157.95	0	8435153240737	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6487	68.70	0	8435153264870	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-6587	256.00	0	8435153265877	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-5382	229.46	0	8435153253829	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-4602	464.1	0	8435153246029	EAN	NEW									3																																																																																																																																																																																																																																																		
PRUEBA-4848E	129.01	0	8435153948480	EAN	NEW									3																																																																																																																																																																																																																																																		
