TemplateType=Offer	Version=2014.0703																																																																																																																																																																																																																																																														
sku	price	quantity	product-id	product-id-type	condition-type	condition-note	ASIN-hint	title	product-tax-code	operation-type	sale-price	sale-start-date	sale-end-date	leadtime-to-ship	launch-date	is-giftwrap-available	is-gift-message-available	fulfillment-center-id																																																																																																																																																																																																																																													
sku	price	quantity	product-id	product-id-type	condition-type	condition-note	ASIN-hint	title	product-tax-code	operation-type	sale-price	sale-start-date	sale-end-date	leadtime-to-ship	launch-date	is-giftwrap-available	is-gift-message-available	fulfillment-center-id																																																																																																																																																																																																																																													
015-101178	2.36	20	8426107655226	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101180	2.36	20	8426107655240	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101179	3.4	20	8426107655233	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101181	3.4	20	8426107655257	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101400	3.8	20	8426107949493	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101401	3.8	20	8426107949486	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366111	5.2	20	8426107006547	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366113	5.2	20	8426107006578	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366115	5.2	20	8426107006592	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101763	5.56	20	8426107015037	EAN	NEW									3																																																																																																																																																																																																																																																		
015-189016	5.6	20	8426107189905	EAN	NEW									3																																																																																																																																																																																																																																																		
015-189017	5.6	20	8426107789013	EAN	NEW									3																																																																																																																																																																																																																																																		
015-189018	5.6	20	8426107799012	EAN	NEW									3																																																																																																																																																																																																																																																		
015-189019	5.6	5	8426107189028	EAN	NEW									3																																																																																																																																																																																																																																																		
015-189020	5.6	20	8426107590206	EAN	NEW									3																																																																																																																																																																																																																																																		
015-189021	5.6	20	8426107589026	EAN	NEW									3																																																																																																																																																																																																																																																		
015-200022	5.6	20	8426107011046	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366100	5.6	5	8426107006615	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366102	5.6	20	8426107006639	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366104	5.6	20	8426107006653	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101402	5.8	20	8426107949479	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101403	5.8	5	8426107949462	EAN	NEW									3																																																																																																																																																																																																																																																		
015-600318	6	20	8426107623041	EAN	NEW									3																																																																																																																																																																																																																																																		
015-601311	6	20	8426107000361	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101032	6.36	20	8426107005793	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366106	7	20	8426107006677	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366108	7	20	8426107006691	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366110	7	20	8426107006714	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366112	7	20	8426107006554	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366114	7	20	8426107006585	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366116	7	20	8426107006608	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101606	7.2	20	8426107015853	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101614	7.2	20	8426107015860	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101618	7.2	5	8426107015877	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101621	7.2	20	8426107015884	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101624	7.2	20	8426107015891	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101627	7.2	5	8426107015907	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101628	7.2	20	8426107451279	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101629	7.2	20	8426107015914	EAN	NEW									3																																																																																																																																																																																																																																																		
015-111031	7.2	20	8426107006325	EAN	NEW									3																																																																																																																																																																																																																																																		
015-111032	7.2	20	8426107006332	EAN	NEW									3																																																																																																																																																																																																																																																		
015-25153	7.2	20	8426107545220	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366118	7.4	20	8426107006738	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366120	7.4	20	8426107006752	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366122	7.4	20	8426107006776	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366101	7.6	20	8426107006622	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366103	7.6	20	8426107006646	EAN	NEW									3																																																																																																																																																																																																																																																		
015-366105	7.6	20	8426107006660	EAN	NEW									3																																																																																																																																																																																																																																																		
015-600238	8	20	8426107105325	EAN	NEW									3																																																																																																																																																																																																																																																		
015-600248	8	5	8426107600240	EAN	NEW									3																																																																																																																																																																																																																																																		
